frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6668,0.2409)","(0.7060,0.2265)","(0.6426,0.2257)","(0.7675,0.2347)","(0.0000,0.0000)","(0.7974,0.3090)","(0.6593,0.3257)","(0.7268,0.4013)","(0.6151,0.4572)","(0.5900,0.2927)","(0.5583,0.3483)","(0.7932,0.5655)","(0.7155,0.5674)","(0.6876,0.7453)","(0.7318,0.7477)","(0.7638,0.9457)","(0.8434,0.9179)"
1,"(0.6667,0.2408)","(0.7060,0.2265)","(0.6425,0.2257)","(0.7675,0.2348)","(0.0000,0.0000)","(0.7971,0.3090)","(0.6599,0.3257)","(0.7263,0.4011)","(0.6152,0.4573)","(0.5899,0.2926)","(0.5583,0.3482)","(0.7943,0.5657)","(0.7173,0.5676)","(0.6875,0.7453)","(0.7328,0.7479)","(0.7635,0.9461)","(0.8439,0.9182)"
2,"(0.6756,0.2374)","(0.7142,0.2229)","(0.6504,0.2219)","(0.7744,0.2331)","(0.0000,0.0000)","(0.8082,0.3137)","(0.6438,0.3272)","(0.7502,0.4176)","(0.6212,0.4645)","(0.6417,0.3262)","(0.5603,0.3578)","(0.7920,0.5744)","(0.6912,0.5755)","(0.7012,0.7565)","(0.7043,0.7580)","(0.7587,0.9696)","(0.8076,0.9384)"
3,"(0.6840,0.2291)","(0.7240,0.2141)","(0.6546,0.2131)","(0.7845,0.2259)","(0.0000,0.0000)","(0.8253,0.3102)","(0.6298,0.3237)","(0.7948,0.4162)","(0.6240,0.4708)","(0.6798,0.2946)","(0.5648,0.3709)","(0.7989,0.5770)","(0.6775,0.5784)","(0.7184,0.7616)","(0.7050,0.7681)","(0.7768,0.9724)","(0.7988,0.9490)"
4,"(0.6990,0.2141)","(0.7360,0.1996)","(0.6688,0.2010)","(0.7962,0.2141)","(0.0000,0.0000)","(0.8573,0.3067)","(0.6239,0.3179)","(0.8464,0.4256)","(0.5714,0.4615)","(0.7371,0.2903)","(0.5271,0.3663)","(0.8088,0.5676)","(0.6622,0.5672)","(0.7479,0.7487)","(0.6915,0.7504)","(0.7653,0.9197)","(0.7561,0.9029)"
5,"(0.7180,0.2056)","(0.7592,0.1898)","(0.6847,0.1911)","(0.8272,0.2060)","(0.0000,0.0000)","(0.8731,0.3070)","(0.6052,0.3149)","(0.8838,0.4152)","(0.4973,0.4424)","(0.7655,0.2859)","(0.4757,0.3350)","(0.8127,0.5711)","(0.6489,0.5676)","(0.7671,0.7518)","(0.6863,0.7384)","(0.7880,0.9164)","(0.7621,0.8738)"
6,"(0.7313,0.2050)","(0.7749,0.1887)","(0.6971,0.1884)","(0.8393,0.2021)","(0.6529,0.2010)","(0.8782,0.3019)","(0.5810,0.3025)","(0.9236,0.4164)","(0.4047,0.4144)","(0.8254,0.2813)","(0.3764,0.3142)","(0.8327,0.5609)","(0.6582,0.5601)","(0.7711,0.7502)","(0.7062,0.7499)","(0.7622,0.9055)","(0.7693,0.8848)"
7,"(0.7398,0.2051)","(0.7804,0.1891)","(0.7075,0.1881)","(0.8344,0.2001)","(0.6636,0.1980)","(0.8739,0.3020)","(0.5812,0.2897)","(0.9422,0.4090)","(0.3522,0.3493)","(0.8405,0.2853)","(0.2867,0.2427)","(0.8268,0.5572)","(0.6566,0.5524)","(0.7773,0.7463)","(0.6892,0.7369)","(0.8017,0.9129)","(0.7699,0.8669)"
8,"(0.7403,0.2049)","(0.7804,0.1888)","(0.7078,0.1882)","(0.8342,0.1999)","(0.6639,0.1985)","(0.8755,0.3024)","(0.5813,0.2898)","(0.9423,0.4102)","(0.3552,0.3477)","(0.8406,0.2861)","(0.2806,0.2425)","(0.8276,0.5582)","(0.6564,0.5534)","(0.7789,0.7462)","(0.6895,0.7379)","(0.8010,0.9130)","(0.7735,0.8686)"
9,"(0.7369,0.2063)","(0.7759,0.1898)","(0.7049,0.1899)","(0.8339,0.1994)","(0.6618,0.1975)","(0.8744,0.3040)","(0.5907,0.2715)","(0.9487,0.4111)","(0.3847,0.2657)","(0.8392,0.2893)","(0.2613,0.2113)","(0.8276,0.5497)","(0.6625,0.5407)","(0.7859,0.7292)","(0.6926,0.7403)","(0.7866,0.9116)","(0.7610,0.8860)"
10,"(0.7406,0.2025)","(0.7801,0.1859)","(0.7079,0.1869)","(0.8423,0.1964)","(0.6666,0.1963)","(0.8827,0.3026)","(0.6086,0.2702)","(0.9400,0.4102)","(0.4109,0.2611)","(0.8312,0.2871)","(0.2487,0.2000)","(0.8246,0.5497)","(0.6643,0.5392)","(0.7861,0.7318)","(0.6902,0.7391)","(0.7789,0.9054)","(0.7517,0.8745)"
11,"(0.7464,0.2006)","(0.7875,0.1840)","(0.7139,0.1846)","(0.8529,0.1942)","(0.6734,0.1935)","(0.8926,0.2993)","(0.6176,0.2745)","(0.9291,0.4120)","(0.4007,0.3002)","(0.8346,0.2879)","(0.2703,0.2133)","(0.8189,0.5392)","(0.6567,0.5302)","(0.7832,0.7257)","(0.6781,0.7281)","(0.7826,0.8990)","(0.7349,0.8728)"
12,"(0.7513,0.1971)","(0.7935,0.1808)","(0.7201,0.1803)","(0.8571,0.1926)","(0.6793,0.1904)","(0.8845,0.2938)","(0.6228,0.2756)","(0.9117,0.4139)","(0.4248,0.3480)","(0.8313,0.2802)","(0.3466,0.2633)","(0.8213,0.5409)","(0.6656,0.5322)","(0.7902,0.7298)","(0.6820,0.7238)","(0.7957,0.8888)","(0.7511,0.8695)"
13,"(0.7509,0.1935)","(0.7945,0.1777)","(0.7200,0.1767)","(0.8587,0.1921)","(0.6791,0.1897)","(0.8879,0.2954)","(0.6202,0.2841)","(0.9050,0.4148)","(0.4603,0.3799)","(0.8230,0.2767)","(0.3940,0.2985)","(0.8169,0.5437)","(0.6557,0.5366)","(0.7757,0.7340)","(0.6721,0.7301)","(0.7844,0.8928)","(0.7601,0.8759)"
14,"(0.7440,0.1913)","(0.7856,0.1764)","(0.7151,0.1762)","(0.8508,0.1916)","(0.6780,0.1904)","(0.8962,0.2938)","(0.6226,0.2873)","(0.8966,0.4116)","(0.4844,0.4011)","(0.8197,0.2749)","(0.4312,0.3206)","(0.8100,0.5363)","(0.6436,0.5304)","(0.7610,0.7290)","(0.6631,0.7264)","(0.7728,0.9053)","(0.7593,0.8855)"
15,"(0.7358,0.1959)","(0.7764,0.1811)","(0.7057,0.1820)","(0.8415,0.1965)","(0.0000,0.0000)","(0.8852,0.2949)","(0.6486,0.2938)","(0.8842,0.4109)","(0.5228,0.4113)","(0.7940,0.2731)","(0.4645,0.3350)","(0.8075,0.5408)","(0.6654,0.5365)","(0.7522,0.7306)","(0.6756,0.7323)","(0.7733,0.9112)","(0.7546,0.8994)"
16,"(0.7232,0.2045)","(0.7611,0.1899)","(0.6943,0.1915)","(0.8230,0.2044)","(0.0000,0.0000)","(0.8752,0.3000)","(0.6478,0.3018)","(0.8734,0.4143)","(0.5445,0.4243)","(0.7637,0.2794)","(0.4926,0.3582)","(0.7966,0.5470)","(0.6629,0.5430)","(0.7355,0.7391)","(0.6935,0.7406)","(0.7537,0.9169)","(0.7725,0.9041)"
17,"(0.7159,0.2161)","(0.7524,0.2013)","(0.6847,0.2034)","(0.8100,0.2142)","(0.6514,0.2193)","(0.8564,0.3081)","(0.6548,0.3134)","(0.8632,0.4257)","(0.5633,0.4317)","(0.7456,0.2953)","(0.5024,0.3616)","(0.7958,0.5535)","(0.6770,0.5520)","(0.7178,0.7303)","(0.7018,0.7330)","(0.7620,0.9014)","(0.7830,0.8869)"
