frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.3302,0.2429)","(0.3545,0.2271)","(0.2929,0.2270)","(0.0000,0.0000)","(0.2286,0.2332)","(0.3323,0.3296)","(0.1906,0.3160)","(0.3727,0.4521)","(0.2718,0.4250)","(0.4432,0.3492)","(0.3852,0.3013)","(0.2891,0.5672)","(0.1985,0.5696)","(0.2728,0.7362)","(0.3132,0.7561)","(0.1665,0.9021)","(0.2355,0.9605)"
1,"(0.3302,0.2431)","(0.3547,0.2272)","(0.2934,0.2271)","(0.0000,0.0000)","(0.2299,0.2329)","(0.3317,0.3294)","(0.1919,0.3157)","(0.3729,0.4524)","(0.2715,0.4260)","(0.4441,0.3505)","(0.3833,0.3018)","(0.2874,0.5677)","(0.1983,0.5699)","(0.2725,0.7360)","(0.3129,0.7546)","(0.1660,0.9020)","(0.2350,0.9593)"
2,"(0.3229,0.2388)","(0.3474,0.2218)","(0.2835,0.2224)","(0.0000,0.0000)","(0.2189,0.2295)","(0.3307,0.3290)","(0.1761,0.3168)","(0.3589,0.4598)","(0.2427,0.4320)","(0.4289,0.3611)","(0.3534,0.3187)","(0.2912,0.5771)","(0.1897,0.5759)","(0.3010,0.7572)","(0.3007,0.7549)","(0.2157,0.9613)","(0.2199,0.9661)"
3,"(0.3105,0.2287)","(0.3427,0.2136)","(0.2744,0.2115)","(0.0000,0.0000)","(0.2143,0.2212)","(0.3477,0.3291)","(0.1596,0.3163)","(0.3695,0.4618)","(0.1997,0.4395)","(0.4276,0.3653)","(0.3142,0.3149)","(0.3151,0.5799)","(0.1946,0.5796)","(0.2938,0.7617)","(0.2618,0.7627)","(0.2163,0.9439)","(0.2275,0.9714)"
4,"(0.2907,0.2115)","(0.3230,0.1987)","(0.2562,0.1958)","(0.3543,0.2206)","(0.1955,0.2137)","(0.3531,0.3236)","(0.1337,0.3130)","(0.4227,0.4529)","(0.1497,0.4382)","(0.4645,0.3621)","(0.2629,0.3091)","(0.3430,0.5743)","(0.1987,0.5800)","(0.3027,0.7439)","(0.2406,0.7759)","(0.2335,0.8836)","(0.2236,0.9653)"
5,"(0.2734,0.2074)","(0.3087,0.1940)","(0.2349,0.1909)","(0.0000,0.0000)","(0.1708,0.2072)","(0.3794,0.3160)","(0.1113,0.3061)","(0.5029,0.4472)","(0.1166,0.4191)","(0.5254,0.3349)","(0.2012,0.2913)","(0.3496,0.5786)","(0.1841,0.5803)","(0.2969,0.7609)","(0.2216,0.7711)","(0.2394,0.9041)","(0.1890,0.9365)"
6,"(0.2613,0.2039)","(0.2963,0.1884)","(0.2206,0.1869)","(0.3375,0.2016)","(0.1589,0.1986)","(0.3967,0.3022)","(0.1114,0.2994)","(0.5744,0.4051)","(0.0732,0.4177)","(0.6334,0.3081)","(0.1579,0.2943)","(0.3413,0.5644)","(0.1695,0.5664)","(0.2952,0.7461)","(0.2093,0.7600)","(0.2096,0.8854)","(0.2029,0.9409)"
7,"(0.2596,0.2046)","(0.2913,0.1879)","(0.2187,0.1890)","(0.3325,0.1980)","(0.1607,0.2011)","(0.4093,0.2924)","(0.1188,0.3021)","(0.6239,0.3625)","(0.0427,0.4130)","(0.7092,0.2545)","(0.1527,0.2914)","(0.3335,0.5582)","(0.1624,0.5642)","(0.3013,0.7449)","(0.2015,0.7557)","(0.2044,0.8877)","(0.1720,0.9332)"
8,"(0.2595,0.2045)","(0.2910,0.1881)","(0.2184,0.1890)","(0.3317,0.1985)","(0.1601,0.2015)","(0.4071,0.2916)","(0.1185,0.3027)","(0.6164,0.3592)","(0.0436,0.4129)","(0.7060,0.2600)","(0.1529,0.2913)","(0.3345,0.5550)","(0.1646,0.5616)","(0.2983,0.7418)","(0.2012,0.7523)","(0.2009,0.8875)","(0.1707,0.9324)"
9,"(0.2574,0.2064)","(0.2911,0.1907)","(0.2168,0.1910)","(0.3326,0.1987)","(0.1603,0.2017)","(0.3965,0.2703)","(0.1196,0.3066)","(0.5882,0.2654)","(0.0450,0.4081)","(0.7220,0.2281)","(0.1447,0.2874)","(0.3286,0.5452)","(0.1708,0.5579)","(0.2749,0.7460)","(0.1876,0.7405)","(0.1813,0.8907)","(0.1871,0.9129)"
10,"(0.2535,0.2038)","(0.2878,0.1886)","(0.2142,0.1875)","(0.3263,0.1970)","(0.1546,0.1969)","(0.3794,0.2677)","(0.1114,0.3013)","(0.5651,0.2694)","(0.0522,0.4055)","(0.7104,0.2252)","(0.1469,0.2844)","(0.3326,0.5466)","(0.1782,0.5595)","(0.2761,0.7465)","(0.1881,0.7427)","(0.1900,0.8915)","(0.1827,0.9140)"
11,"(0.2483,0.1980)","(0.2810,0.1837)","(0.2096,0.1819)","(0.0000,0.0000)","(0.1468,0.1919)","(0.3618,0.2685)","(0.0968,0.2938)","(0.5646,0.3034)","(0.0616,0.4093)","(0.6714,0.2471)","(0.1576,0.2847)","(0.3406,0.5371)","(0.1823,0.5511)","(0.3025,0.7295)","(0.1969,0.7411)","(0.2148,0.8697)","(0.1783,0.9214)"
12,"(0.2452,0.1941)","(0.2739,0.1777)","(0.2021,0.1784)","(0.3117,0.1883)","(0.1389,0.1913)","(0.3719,0.2777)","(0.0902,0.2929)","(0.5604,0.3520)","(0.0698,0.4221)","(0.6678,0.2824)","(0.1476,0.2895)","(0.3531,0.5337)","(0.1779,0.5455)","(0.3201,0.7203)","(0.2042,0.7488)","(0.2106,0.8454)","(0.2135,0.9394)"
13,"(0.2426,0.1898)","(0.2733,0.1750)","(0.2009,0.1746)","(0.3107,0.1891)","(0.1385,0.1892)","(0.3647,0.2793)","(0.0960,0.2878)","(0.5354,0.3752)","(0.0908,0.4182)","(0.6130,0.3051)","(0.1619,0.2852)","(0.3485,0.5340)","(0.1817,0.5425)","(0.3235,0.7276)","(0.2113,0.7493)","(0.2152,0.8693)","(0.2160,0.9364)"
14,"(0.2490,0.1893)","(0.2804,0.1753)","(0.2080,0.1740)","(0.3166,0.1917)","(0.1451,0.1898)","(0.3608,0.2841)","(0.1016,0.2871)","(0.5115,0.3935)","(0.1027,0.4193)","(0.5681,0.3137)","(0.1748,0.2852)","(0.3533,0.5321)","(0.1901,0.5386)","(0.3325,0.7276)","(0.2201,0.7461)","(0.2248,0.8833)","(0.2132,0.9409)"
15,"(0.2622,0.1972)","(0.2899,0.1826)","(0.2217,0.1816)","(0.0000,0.0000)","(0.1541,0.1959)","(0.3430,0.2910)","(0.1025,0.2925)","(0.4789,0.4098)","(0.1127,0.4143)","(0.5319,0.3263)","(0.1991,0.2830)","(0.3343,0.5436)","(0.1887,0.5521)","(0.3228,0.7357)","(0.2402,0.7500)","(0.2136,0.9040)","(0.2068,0.9444)"
16,"(0.2693,0.2042)","(0.3000,0.1914)","(0.2324,0.1891)","(0.3316,0.2086)","(0.1734,0.2037)","(0.3421,0.2993)","(0.1193,0.2947)","(0.4429,0.4211)","(0.1224,0.4220)","(0.5055,0.3501)","(0.2236,0.2964)","(0.3376,0.5482)","(0.2013,0.5519)","(0.2993,0.7423)","(0.2634,0.7507)","(0.2017,0.9221)","(0.2315,0.9578)"
17,"(0.2803,0.2180)","(0.3092,0.2044)","(0.2437,0.2023)","(0.0000,0.0000)","(0.1838,0.2138)","(0.3337,0.3096)","(0.1330,0.3053)","(0.4284,0.4340)","(0.1298,0.4305)","(0.4875,0.3611)","(0.2565,0.3063)","(0.3228,0.5582)","(0.2011,0.5613)","(0.2932,0.7468)","(0.2697,0.7525)","(0.2053,0.9337)","(0.2137,0.9548)"
