frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6684,0.2409)","(0.7064,0.2266)","(0.6432,0.2260)","(0.7649,0.2345)","(0.0000,0.0000)","(0.7954,0.3083)","(0.6659,0.3252)","(0.7297,0.4014)","(0.6162,0.4574)","(0.6071,0.2983)","(0.5622,0.3515)","(0.7901,0.5643)","(0.7185,0.5657)","(0.6892,0.7473)","(0.7287,0.7469)","(0.7481,0.9518)","(0.8303,0.9158)"
1,"(0.6684,0.2410)","(0.7062,0.2268)","(0.6436,0.2260)","(0.7642,0.2345)","(0.0000,0.0000)","(0.7947,0.3081)","(0.6677,0.3252)","(0.7292,0.4012)","(0.6170,0.4578)","(0.6069,0.2986)","(0.5611,0.3514)","(0.7867,0.5657)","(0.7167,0.5672)","(0.6893,0.7483)","(0.7279,0.7491)","(0.7496,0.9539)","(0.8329,0.9180)"
2,"(0.6791,0.2371)","(0.7140,0.2217)","(0.6519,0.2221)","(0.7709,0.2291)","(0.0000,0.0000)","(0.8106,0.3095)","(0.6516,0.3266)","(0.7522,0.4135)","(0.6264,0.4665)","(0.6426,0.3220)","(0.5645,0.3653)","(0.7853,0.5711)","(0.6871,0.5740)","(0.7040,0.7513)","(0.6998,0.7590)","(0.7696,0.9678)","(0.7966,0.9478)"
3,"(0.6851,0.2271)","(0.7218,0.2114)","(0.6527,0.2121)","(0.7777,0.2227)","(0.0000,0.0000)","(0.8159,0.3111)","(0.6199,0.3271)","(0.8034,0.4170)","(0.6231,0.4678)","(0.6851,0.3020)","(0.5662,0.3707)","(0.8002,0.5775)","(0.6774,0.5803)","(0.7301,0.7607)","(0.7011,0.7682)","(0.7798,0.9556)","(0.7983,0.9337)"
4,"(0.6970,0.2141)","(0.7324,0.1987)","(0.6665,0.2009)","(0.7924,0.2134)","(0.0000,0.0000)","(0.8508,0.3114)","(0.6150,0.3232)","(0.8456,0.4169)","(0.5617,0.4538)","(0.7253,0.2913)","(0.5227,0.3699)","(0.8030,0.5779)","(0.6586,0.5763)","(0.7542,0.7580)","(0.7106,0.7533)","(0.7823,0.9322)","(0.7825,0.8953)"
5,"(0.7174,0.2076)","(0.7596,0.1926)","(0.6857,0.1931)","(0.8290,0.2103)","(0.0000,0.0000)","(0.8759,0.3095)","(0.6073,0.3152)","(0.8808,0.4113)","(0.4931,0.4386)","(0.7732,0.2863)","(0.4638,0.3481)","(0.8095,0.5766)","(0.6480,0.5727)","(0.7732,0.7606)","(0.7033,0.7481)","(0.7902,0.9254)","(0.7727,0.8854)"
6,"(0.7361,0.2044)","(0.7795,0.1891)","(0.7026,0.1879)","(0.8386,0.2040)","(0.6579,0.2015)","(0.8835,0.3049)","(0.5900,0.3034)","(0.9223,0.4178)","(0.4066,0.4078)","(0.8293,0.2881)","(0.3718,0.3065)","(0.8291,0.5692)","(0.6566,0.5679)","(0.7721,0.7531)","(0.7134,0.7498)","(0.7751,0.9215)","(0.7743,0.8846)"
7,"(0.7398,0.2045)","(0.7819,0.1886)","(0.7069,0.1883)","(0.8421,0.2017)","(0.6629,0.1995)","(0.8736,0.3026)","(0.5787,0.2931)","(0.9475,0.4140)","(0.3492,0.3535)","(0.8477,0.2887)","(0.2738,0.2323)","(0.8499,0.5553)","(0.6755,0.5543)","(0.7939,0.7452)","(0.7098,0.7510)","(0.7878,0.9147)","(0.7539,0.8994)"
8,"(0.7394,0.2048)","(0.7817,0.1889)","(0.7069,0.1883)","(0.8420,0.2017)","(0.6629,0.1992)","(0.8720,0.3027)","(0.5787,0.2928)","(0.9468,0.4134)","(0.3487,0.3534)","(0.8469,0.2879)","(0.2757,0.2340)","(0.8466,0.5553)","(0.6739,0.5543)","(0.7935,0.7424)","(0.7110,0.7480)","(0.7895,0.9146)","(0.7573,0.8990)"
9,"(0.7395,0.2059)","(0.7808,0.1898)","(0.7070,0.1898)","(0.8427,0.2008)","(0.6639,0.1984)","(0.8710,0.3033)","(0.6001,0.2712)","(0.9482,0.4116)","(0.3959,0.2622)","(0.8418,0.2960)","(0.2565,0.2053)","(0.8360,0.5499)","(0.6787,0.5414)","(0.7886,0.7326)","(0.7062,0.7436)","(0.7949,0.9126)","(0.7628,0.8840)"
