frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6646,0.2406)","(0.7054,0.2261)","(0.6411,0.2248)","(0.7712,0.2344)","(0.0000,0.0000)","(0.7969,0.3089)","(0.6608,0.3241)","(0.7292,0.4067)","(0.6137,0.4606)","(0.5998,0.3012)","(0.5649,0.3672)","(0.8004,0.5673)","(0.7234,0.5687)","(0.6905,0.7449)","(0.7345,0.7459)","(0.7711,0.9347)","(0.8359,0.9032)"
1,"(0.6667,0.2417)","(0.7069,0.2277)","(0.6433,0.2255)","(0.7692,0.2353)","(0.0000,0.0000)","(0.7976,0.3077)","(0.6569,0.3210)","(0.7244,0.4054)","(0.6134,0.4564)","(0.5977,0.3021)","(0.5557,0.3560)","(0.8012,0.5616)","(0.7192,0.5627)","(0.7006,0.7390)","(0.7311,0.7398)","(0.7710,0.9406)","(0.8240,0.9112)"
2,"(0.6769,0.2378)","(0.7157,0.2228)","(0.6520,0.2208)","(0.7764,0.2292)","(0.0000,0.0000)","(0.8084,0.3106)","(0.6424,0.3213)","(0.7614,0.4238)","(0.6278,0.4645)","(0.6561,0.3362)","(0.5703,0.3739)","(0.8013,0.5687)","(0.7016,0.5688)","(0.7136,0.7436)","(0.7266,0.7409)","(0.7709,0.9347)","(0.8189,0.9032)"
3,"(0.6818,0.2258)","(0.7223,0.2104)","(0.6496,0.2100)","(0.7828,0.2224)","(0.0000,0.0000)","(0.8114,0.3124)","(0.6271,0.3252)","(0.8027,0.4284)","(0.6235,0.4664)","(0.6766,0.3249)","(0.5687,0.3751)","(0.8031,0.5773)","(0.6907,0.5799)","(0.7179,0.7458)","(0.7165,0.7554)","(0.0000,0.0000)","(0.0000,0.0000)"
4,"(0.7049,0.2128)","(0.7413,0.1986)","(0.6709,0.1991)","(0.7937,0.2147)","(0.6250,0.2172)","(0.8556,0.3085)","(0.6035,0.3171)","(0.8418,0.4210)","(0.5647,0.4585)","(0.7134,0.2981)","(0.5253,0.3712)","(0.8167,0.5647)","(0.6572,0.5615)","(0.7469,0.7485)","(0.6898,0.7394)","(0.7644,0.9070)","(0.7636,0.8659)"
5,"(0.7197,0.2060)","(0.7628,0.1907)","(0.6859,0.1921)","(0.8304,0.2070)","(0.0000,0.0000)","(0.8813,0.3079)","(0.6130,0.3172)","(0.8834,0.4263)","(0.4836,0.4410)","(0.8063,0.3175)","(0.4610,0.3454)","(0.8236,0.5602)","(0.6629,0.5622)","(0.7618,0.7306)","(0.7015,0.7321)","(0.7752,0.8989)","(0.7936,0.8727)"
6,"(0.7361,0.2056)","(0.7791,0.1896)","(0.6998,0.1900)","(0.8422,0.2032)","(0.6553,0.2042)","(0.8839,0.3055)","(0.5923,0.3042)","(0.9190,0.4208)","(0.3958,0.4037)","(0.8320,0.2923)","(0.3740,0.3059)","(0.8305,0.5644)","(0.6593,0.5631)","(0.7739,0.7554)","(0.7001,0.7506)","(0.7867,0.9077)","(0.7751,0.8811)"
7,"(0.7406,0.2061)","(0.7816,0.1895)","(0.7064,0.1899)","(0.8416,0.1992)","(0.6646,0.1999)","(0.8722,0.3019)","(0.5873,0.2910)","(0.9445,0.4166)","(0.3445,0.3481)","(0.8568,0.3005)","(0.2849,0.2323)","(0.8369,0.5506)","(0.6742,0.5480)","(0.7898,0.7420)","(0.6981,0.7384)","(0.7977,0.9012)","(0.7728,0.8753)"
8,"(0.7389,0.2043)","(0.7801,0.1887)","(0.7060,0.1883)","(0.8386,0.2003)","(0.6638,0.1990)","(0.8767,0.3008)","(0.5872,0.2898)","(0.9439,0.4153)","(0.3483,0.3548)","(0.8472,0.2952)","(0.2923,0.2402)","(0.8381,0.5383)","(0.6691,0.5351)","(0.8023,0.7203)","(0.6931,0.7159)","(0.8042,0.8931)","(0.7558,0.8650)"
9,"(0.7412,0.2050)","(0.7810,0.1893)","(0.7074,0.1899)","(0.8418,0.1990)","(0.6647,0.1990)","(0.8752,0.3014)","(0.6048,0.2697)","(0.9480,0.4092)","(0.3981,0.2671)","(0.8455,0.2967)","(0.2447,0.2116)","(0.8290,0.5376)","(0.6731,0.5270)","(0.8129,0.7103)","(0.6911,0.7086)","(0.8039,0.8848)","(0.7591,0.8450)"
10,"(0.7418,0.2018)","(0.7825,0.1862)","(0.7100,0.1861)","(0.8440,0.1977)","(0.6679,0.1949)","(0.8794,0.3008)","(0.6139,0.2669)","(0.9419,0.4129)","(0.4221,0.2655)","(0.8358,0.2980)","(0.2704,0.2132)","(0.8291,0.5433)","(0.6732,0.5318)","(0.7989,0.7329)","(0.7017,0.7357)","(0.7819,0.8944)","(0.7442,0.8547)"
11,"(0.7454,0.2012)","(0.7891,0.1853)","(0.7138,0.1844)","(0.8557,0.1965)","(0.6733,0.1928)","(0.8909,0.2986)","(0.6250,0.2724)","(0.9233,0.4121)","(0.4205,0.3113)","(0.8273,0.2918)","(0.3256,0.2451)","(0.8295,0.5399)","(0.6709,0.5293)","(0.8258,0.7230)","(0.7025,0.7204)","(0.8035,0.8792)","(0.7373,0.8511)"
12,"(0.7536,0.1979)","(0.7958,0.1813)","(0.7205,0.1819)","(0.8613,0.1927)","(0.6796,0.1927)","(0.8918,0.2932)","(0.6276,0.2777)","(0.9157,0.4160)","(0.4250,0.3543)","(0.8375,0.2860)","(0.3466,0.2649)","(0.8239,0.5304)","(0.6678,0.5221)","(0.8050,0.7137)","(0.6921,0.7058)","(0.7951,0.8753)","(0.7576,0.8457)"
13,"(0.7477,0.1938)","(0.7910,0.1775)","(0.7186,0.1767)","(0.8580,0.1902)","(0.0000,0.0000)","(0.8909,0.2941)","(0.6209,0.2853)","(0.9047,0.4150)","(0.4619,0.3857)","(0.8266,0.2821)","(0.3958,0.3031)","(0.8304,0.5420)","(0.6661,0.5351)","(0.7799,0.7281)","(0.6673,0.7192)","(0.7893,0.8836)","(0.7558,0.8585)"
14,"(0.7414,0.1919)","(0.7847,0.1766)","(0.7124,0.1767)","(0.8549,0.1917)","(0.0000,0.0000)","(0.8967,0.2940)","(0.6361,0.2876)","(0.8926,0.4135)","(0.4865,0.4011)","(0.8138,0.2773)","(0.4306,0.3231)","(0.8111,0.5420)","(0.6548,0.5355)","(0.7664,0.7320)","(0.6813,0.7264)","(0.7770,0.9023)","(0.7633,0.8757)"
15,"(0.7356,0.1936)","(0.7766,0.1794)","(0.7062,0.1802)","(0.8431,0.1984)","(0.0000,0.0000)","(0.8881,0.2986)","(0.6477,0.2951)","(0.8820,0.4102)","(0.5184,0.4060)","(0.7890,0.2818)","(0.4616,0.3333)","(0.8122,0.5441)","(0.6663,0.5374)","(0.7492,0.7200)","(0.6689,0.7147)","(0.7832,0.9109)","(0.7524,0.8670)"
16,"(0.7286,0.2020)","(0.7652,0.1882)","(0.6971,0.1898)","(0.8206,0.2044)","(0.6606,0.2083)","(0.8744,0.3001)","(0.6521,0.3015)","(0.8727,0.4188)","(0.5449,0.4230)","(0.7647,0.2928)","(0.4925,0.3596)","(0.7904,0.5521)","(0.6555,0.5482)","(0.7262,0.7474)","(0.6861,0.7443)","(0.7752,0.9174)","(0.7820,0.8998)"
17,"(0.7165,0.2164)","(0.7529,0.2012)","(0.6844,0.2034)","(0.8110,0.2142)","(0.6496,0.2192)","(0.8608,0.3083)","(0.6561,0.3140)","(0.8642,0.4254)","(0.5666,0.4348)","(0.7373,0.2995)","(0.5059,0.3551)","(0.7946,0.5631)","(0.6774,0.5605)","(0.7337,0.7464)","(0.7190,0.7498)","(0.7534,0.9196)","(0.7783,0.9057)"
