frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.7947,0.3836)","(0.8314,0.3678)","(0.7688,0.3683)","(0.8945,0.3732)","(0.0000,0.0000)","(0.9308,0.4457)","(0.7790,0.4632)","(0.8573,0.5415)","(0.7359,0.5961)","(0.7187,0.4359)","(0.6811,0.4774)","(0.9212,0.7057)","(0.8282,0.7086)","(0.8090,0.8917)","(0.8274,0.8953)","(0.0000,0.0000)","(0.0000,0.0000)"
1,"(0.7951,0.3834)","(0.8317,0.3678)","(0.7694,0.3683)","(0.8940,0.3737)","(0.0000,0.0000)","(0.9286,0.4457)","(0.7820,0.4634)","(0.8579,0.5406)","(0.7377,0.5959)","(0.7214,0.4353)","(0.6828,0.4822)","(0.9185,0.7054)","(0.8291,0.7082)","(0.8058,0.8868)","(0.8244,0.8912)","(0.0000,0.0000)","(0.0000,0.0000)"
2,"(0.8039,0.3795)","(0.8427,0.3639)","(0.7779,0.3634)","(0.9068,0.3709)","(0.0000,0.0000)","(0.9332,0.4479)","(0.7775,0.4630)","(0.8939,0.5539)","(0.7454,0.6027)","(0.7599,0.4525)","(0.6894,0.4915)","(0.9183,0.7104)","(0.8218,0.7122)","(0.8160,0.8881)","(0.8157,0.8896)","(0.0000,0.0000)","(0.0000,0.0000)"
3,"(0.8124,0.3702)","(0.8520,0.3538)","(0.7813,0.3536)","(0.9145,0.3624)","(0.0000,0.0000)","(0.9473,0.4470)","(0.7664,0.4613)","(0.9367,0.5621)","(0.7397,0.6088)","(0.8142,0.4432)","(0.6882,0.5045)","(0.9348,0.7219)","(0.8228,0.7239)","(0.8502,0.9172)","(0.8394,0.9219)","(0.0000,0.0000)","(0.0000,0.0000)"
4,"(0.8284,0.3525)","(0.8660,0.3368)","(0.7941,0.3398)","(0.9284,0.3539)","(0.0000,0.0000)","(0.9780,0.4518)","(0.7363,0.4640)","(0.9723,0.5735)","(0.6941,0.6061)","(0.8633,0.4354)","(0.6664,0.5201)","(0.9555,0.7137)","(0.7974,0.7158)","(0.8930,0.9218)","(0.8115,0.9279)","(0.0000,0.0000)","(0.0000,0.0000)"
5,"(0.8473,0.3478)","(0.8911,0.3308)","(0.8150,0.3319)","(0.9603,0.3466)","(0.0000,0.0000)","(0.9834,0.4543)","(0.7242,0.4591)","(1.0000,0.5731)","(0.6124,0.5881)","(0.9311,0.4298)","(0.5916,0.4755)","(0.9648,0.7211)","(0.7952,0.7231)","(0.9215,0.9259)","(0.8073,0.9293)","(0.0000,0.0000)","(0.0000,0.0000)"
6,"(0.8561,0.3458)","(0.9034,0.3290)","(0.8239,0.3279)","(0.9724,0.3440)","(0.7833,0.3406)","(0.9799,0.4442)","(0.7089,0.4449)","(1.0000,0.5556)","(0.5209,0.5528)","(0.9612,0.4300)","(0.4914,0.4312)","(0.9767,0.7108)","(0.8037,0.7134)","(0.9235,0.9120)","(0.8201,0.9156)","(0.0000,0.0000)","(0.0000,0.0000)"
7,"(0.8621,0.3476)","(0.9091,0.3302)","(0.8322,0.3286)","(0.9758,0.3434)","(0.7931,0.3391)","(0.9832,0.4443)","(0.7117,0.4394)","(0.0000,0.0000)","(0.4674,0.4929)","(0.0000,0.0000)","(0.3849,0.3738)","(0.9916,0.7037)","(0.8240,0.7062)","(0.9293,0.9031)","(0.8326,0.9099)","(0.0000,0.0000)","(0.0000,0.0000)"
8,"(0.8620,0.3474)","(0.9086,0.3303)","(0.8322,0.3286)","(0.9754,0.3432)","(0.7932,0.3388)","(0.9851,0.4438)","(0.7115,0.4391)","(0.0000,0.0000)","(0.4698,0.4931)","(0.0000,0.0000)","(0.3906,0.3779)","(0.9906,0.7017)","(0.8201,0.7043)","(0.9328,0.8988)","(0.8240,0.9055)","(0.0000,0.0000)","(0.0000,0.0000)"
9,"(0.8646,0.3487)","(0.9102,0.3316)","(0.8332,0.3302)","(0.9778,0.3431)","(0.7930,0.3391)","(0.9947,0.4381)","(0.7228,0.4226)","(0.0000,0.0000)","(0.5074,0.4151)","(0.0000,0.0000)","(0.3627,0.3459)","(0.9769,0.6948)","(0.8079,0.6923)","(0.9223,0.8854)","(0.8197,0.8931)","(0.0000,0.0000)","(0.0000,0.0000)"
10,"(0.8692,0.3456)","(0.9136,0.3275)","(0.8359,0.3283)","(0.9858,0.3383)","(0.0000,0.0000)","(0.9989,0.4329)","(0.7484,0.4178)","(0.0000,0.0000)","(0.5347,0.4082)","(0.0000,0.0000)","(0.3637,0.3366)","(0.9631,0.6931)","(0.8070,0.6898)","(0.9276,0.8895)","(0.8184,0.8962)","(0.0000,0.0000)","(0.0000,0.0000)"
11,"(0.8729,0.3434)","(0.9152,0.3252)","(0.8403,0.3266)","(0.9845,0.3355)","(0.0000,0.0000)","(1.0000,0.4292)","(0.7548,0.4171)","(0.0000,0.0000)","(0.5379,0.4364)","(0.9624,0.4395)","(0.3789,0.3504)","(0.9671,0.6819)","(0.8134,0.6782)","(0.9194,0.8847)","(0.8319,0.8908)","(0.0000,0.0000)","(0.0000,0.0000)"
12,"(0.8767,0.3402)","(0.9191,0.3223)","(0.8466,0.3220)","(0.9858,0.3320)","(0.0000,0.0000)","(0.9976,0.4286)","(0.7479,0.4184)","(0.0000,0.0000)","(0.5450,0.4841)","(0.9709,0.4381)","(0.4444,0.3923)","(0.9756,0.6803)","(0.8168,0.6779)","(0.9112,0.8809)","(0.7983,0.8820)","(0.0000,0.0000)","(0.0000,0.0000)"
13,"(0.8790,0.3332)","(0.9207,0.3162)","(0.8456,0.3167)","(0.9866,0.3292)","(0.8045,0.3295)","(0.9913,0.4246)","(0.7506,0.4193)","(1.0000,0.5389)","(0.5721,0.5209)","(0.9717,0.4033)","(0.5128,0.4364)","(0.9632,0.6870)","(0.8066,0.6852)","(0.9118,0.8985)","(0.7895,0.9007)","(0.0000,0.0000)","(0.0000,0.0000)"
14,"(0.8721,0.3320)","(0.9157,0.3162)","(0.8411,0.3162)","(0.9810,0.3321)","(0.8036,0.3309)","(0.9842,0.4321)","(0.7574,0.4272)","(1.0000,0.5506)","(0.6084,0.5416)","(0.9575,0.4041)","(0.5563,0.4607)","(0.9438,0.6834)","(0.7948,0.6809)","(0.9033,0.8850)","(0.7707,0.8881)","(0.0000,0.0000)","(0.0000,0.0000)"
15,"(0.8621,0.3372)","(0.9047,0.3214)","(0.8344,0.3214)","(0.9716,0.3359)","(0.0000,0.0000)","(0.9888,0.4370)","(0.7679,0.4353)","(1.0000,0.5580)","(0.6437,0.5549)","(0.9238,0.4111)","(0.5920,0.4776)","(0.9541,0.6869)","(0.8091,0.6848)","(0.9007,0.8906)","(0.7846,0.8952)","(0.0000,0.0000)","(0.0000,0.0000)"
16,"(0.8513,0.3452)","(0.8908,0.3294)","(0.8217,0.3311)","(0.9543,0.3430)","(0.0000,0.0000)","(0.9822,0.4408)","(0.7746,0.4427)","(1.0000,0.5643)","(0.6692,0.5634)","(0.8953,0.4256)","(0.6140,0.4863)","(0.9436,0.6888)","(0.8107,0.6864)","(0.8726,0.8854)","(0.7841,0.8882)","(0.0000,0.0000)","(0.0000,0.0000)"
17,"(0.8404,0.3563)","(0.8785,0.3413)","(0.8126,0.3428)","(0.9391,0.3544)","(0.0000,0.0000)","(0.9691,0.4483)","(0.7829,0.4535)","(0.9937,0.5720)","(0.6855,0.5736)","(0.8729,0.4372)","(0.6268,0.4914)","(0.9437,0.6991)","(0.8318,0.6984)","(0.8597,0.8791)","(0.8290,0.8879)","(0.0000,0.0000)","(0.0000,0.0000)"
