frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.5107,0.3341)","(0.0000,0.0000)","(0.5047,0.3198)","(0.0000,0.0000)","(0.4368,0.3128)","(0.4511,0.3765)","(0.3069,0.3726)","(0.5663,0.4622)","(0.3224,0.4634)","(0.6261,0.4175)","(0.4450,0.4040)","(0.4327,0.5545)","(0.3084,0.5617)","(0.5245,0.6574)","(0.2938,0.6965)","(0.5628,0.7933)","(0.1101,0.8189)"
1,"(0.5205,0.3430)","(0.0000,0.0000)","(0.5126,0.3286)","(0.0000,0.0000)","(0.4523,0.3238)","(0.4633,0.3856)","(0.3295,0.3902)","(0.5913,0.4594)","(0.3389,0.4754)","(0.6623,0.4122)","(0.4530,0.4060)","(0.4364,0.5605)","(0.3241,0.5706)","(0.5455,0.6626)","(0.3336,0.7039)","(0.5588,0.7955)","(0.1321,0.8174)"
2,"(0.5285,0.3513)","(0.0000,0.0000)","(0.5252,0.3368)","(0.0000,0.0000)","(0.4750,0.3304)","(0.4698,0.3892)","(0.3460,0.3974)","(0.5905,0.4658)","(0.3642,0.4863)","(0.6471,0.4139)","(0.4681,0.4148)","(0.4434,0.5677)","(0.3380,0.5805)","(0.5618,0.6631)","(0.3657,0.7135)","(0.5548,0.7966)","(0.1539,0.8131)"
3,"(0.5389,0.3585)","(0.0000,0.0000)","(0.5341,0.3446)","(0.0000,0.0000)","(0.4777,0.3395)","(0.4456,0.3939)","(0.3781,0.4070)","(0.5437,0.4760)","(0.3934,0.5026)","(0.5984,0.4249)","(0.4758,0.4420)","(0.4487,0.5684)","(0.3785,0.5841)","(0.5716,0.6624)","(0.4075,0.7186)","(0.5593,0.7947)","(0.1704,0.8109)"
4,"(0.5457,0.3642)","(0.0000,0.0000)","(0.5361,0.3518)","(0.0000,0.0000)","(0.4758,0.3486)","(0.4208,0.3956)","(0.4215,0.4128)","(0.4541,0.4891)","(0.4547,0.5032)","(0.5639,0.4369)","(0.5655,0.4351)","(0.4372,0.5662)","(0.4045,0.5840)","(0.5811,0.6583)","(0.4232,0.7210)","(0.5644,0.7902)","(0.1783,0.8046)"
5,"(0.5556,0.3744)","(0.0000,0.0000)","(0.5523,0.3620)","(0.0000,0.0000)","(0.5120,0.3559)","(0.3914,0.4063)","(0.4789,0.4168)","(0.4765,0.4913)","(0.5332,0.4935)","(0.6072,0.4511)","(0.6468,0.4429)","(0.4227,0.5780)","(0.4491,0.5943)","(0.5851,0.6663)","(0.4326,0.7267)","(0.5677,0.7927)","(0.1874,0.8125)"
6,"(0.5542,0.3786)","(0.0000,0.0000)","(0.5477,0.3665)","(0.0000,0.0000)","(0.5078,0.3604)","(0.3705,0.4084)","(0.5123,0.4152)","(0.4434,0.4630)","(0.6600,0.4528)","(0.0000,0.0000)","(0.8055,0.4177)","(0.4021,0.5801)","(0.4548,0.5911)","(0.5862,0.6676)","(0.4352,0.7196)","(0.5584,0.7934)","(0.1948,0.8146)"
7,"(0.0000,0.0000)","(0.0000,0.0000)","(0.5517,0.3732)","(0.0000,0.0000)","(0.5185,0.3656)","(0.3641,0.4093)","(0.5076,0.4155)","(0.0000,0.0000)","(0.6787,0.4211)","(0.0000,0.0000)","(0.8276,0.4083)","(0.3982,0.5810)","(0.4478,0.5958)","(0.5863,0.6678)","(0.4464,0.7214)","(0.5545,0.7902)","(0.1907,0.8130)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5437,0.3657)","(0.3707,0.4098)","(0.5178,0.4135)","(0.0000,0.0000)","(0.6925,0.4223)","(0.0000,0.0000)","(0.8239,0.4103)","(0.4004,0.5797)","(0.4557,0.5944)","(0.5792,0.6639)","(0.4432,0.7181)","(0.5533,0.7847)","(0.1962,0.8161)"
9,"(0.5547,0.3803)","(0.0000,0.0000)","(0.5552,0.3673)","(0.0000,0.0000)","(0.5100,0.3607)","(0.3761,0.4045)","(0.5006,0.4162)","(0.4691,0.4636)","(0.6649,0.4483)","(0.0000,0.0000)","(0.7925,0.4249)","(0.4072,0.5763)","(0.4497,0.5910)","(0.5762,0.6616)","(0.4483,0.7252)","(0.5767,0.7930)","(0.1909,0.8082)"
