frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4890,0.3356)","(0.4984,0.3215)","(0.0000,0.0000)","(0.5600,0.3163)","(0.0000,0.0000)","(0.6773,0.3738)","(0.5481,0.3785)","(0.6768,0.4659)","(0.4358,0.4588)","(0.5497,0.3985)","(0.3626,0.4051)","(0.6791,0.5601)","(0.5584,0.5539)","(0.7058,0.6921)","(0.4821,0.6613)","(0.8868,0.8204)","(0.4346,0.7899)"
1,"(0.4783,0.3451)","(0.4866,0.3302)","(0.0000,0.0000)","(0.5443,0.3247)","(0.0000,0.0000)","(0.6479,0.3869)","(0.5330,0.3873)","(0.6641,0.4694)","(0.4109,0.4602)","(0.5390,0.4092)","(0.3253,0.4111)","(0.6482,0.5696)","(0.5446,0.5617)","(0.6551,0.7015)","(0.4555,0.6702)","(0.8631,0.8146)","(0.4469,0.7986)"
2,"(0.4656,0.3513)","(0.4755,0.3379)","(0.0000,0.0000)","(0.5359,0.3357)","(0.0000,0.0000)","(0.6327,0.3964)","(0.5290,0.3921)","(0.6410,0.4836)","(0.4082,0.4663)","(0.5210,0.4196)","(0.3474,0.4175)","(0.6416,0.5738)","(0.5465,0.5638)","(0.6305,0.7091)","(0.4386,0.6659)","(0.8538,0.8111)","(0.4390,0.7925)"
3,"(0.4546,0.3590)","(0.4624,0.3453)","(0.0000,0.0000)","(0.5224,0.3421)","(0.0000,0.0000)","(0.6016,0.4042)","(0.5543,0.3944)","(0.6027,0.4952)","(0.4499,0.4712)","(0.5147,0.4442)","(0.3873,0.4257)","(0.6196,0.5768)","(0.5591,0.5638)","(0.5872,0.7130)","(0.4316,0.6628)","(0.8385,0.8068)","(0.4331,0.7930)"
4,"(0.4461,0.3662)","(0.4557,0.3530)","(0.0000,0.0000)","(0.5199,0.3490)","(0.0000,0.0000)","(0.5717,0.4076)","(0.5746,0.4000)","(0.5397,0.5037)","(0.5295,0.4929)","(0.4367,0.4364)","(0.4276,0.4320)","(0.5869,0.5804)","(0.5529,0.5691)","(0.5593,0.7136)","(0.4287,0.6730)","(0.8224,0.8067)","(0.4463,0.7929)"
5,"(0.4410,0.3709)","(0.4497,0.3599)","(0.0000,0.0000)","(0.5010,0.3589)","(0.0000,0.0000)","(0.5225,0.4159)","(0.6005,0.4047)","(0.4672,0.4862)","(0.5268,0.4771)","(0.3758,0.4632)","(0.3929,0.4513)","(0.5554,0.5812)","(0.5668,0.5679)","(0.5582,0.7185)","(0.4116,0.6693)","(0.8116,0.8061)","(0.4346,0.8027)"
6,"(0.4407,0.3819)","(0.4467,0.3698)","(0.0000,0.0000)","(0.4891,0.3640)","(0.0000,0.0000)","(0.5046,0.4163)","(0.6310,0.4087)","(0.3561,0.4519)","(0.0000,0.0000)","(0.1987,0.4171)","(0.0000,0.0000)","(0.5387,0.5915)","(0.5806,0.5793)","(0.5562,0.7227)","(0.4177,0.6669)","(0.8120,0.8082)","(0.4354,0.8015)"
7,"(0.4435,0.3850)","(0.4491,0.3731)","(0.0000,0.0000)","(0.4906,0.3667)","(0.0000,0.0000)","(0.4952,0.4119)","(0.6375,0.4082)","(0.3055,0.4155)","(0.0000,0.0000)","(0.1588,0.4079)","(0.0000,0.0000)","(0.5300,0.5937)","(0.5792,0.5815)","(0.5636,0.7265)","(0.4141,0.6625)","(0.8151,0.8082)","(0.4303,0.7983)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.4753,0.3660)","(0.0000,0.0000)","(0.4875,0.4082)","(0.6427,0.4091)","(0.3103,0.4187)","(0.0000,0.0000)","(0.1684,0.4125)","(0.0000,0.0000)","(0.5302,0.5900)","(0.5905,0.5793)","(0.5582,0.7209)","(0.4215,0.6605)","(0.8096,0.8064)","(0.4294,0.7976)"
9,"(0.4401,0.3807)","(0.4441,0.3696)","(0.0000,0.0000)","(0.4799,0.3608)","(0.0000,0.0000)","(0.4923,0.4085)","(0.6224,0.4054)","(0.3524,0.4476)","(0.5134,0.4643)","(0.2198,0.4242)","(0.0000,0.0000)","(0.5340,0.5817)","(0.5846,0.5714)","(0.5521,0.7183)","(0.4254,0.6632)","(0.8015,0.8042)","(0.4380,0.7936)"
