frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.5098,0.3325)","(0.0000,0.0000)","(0.5024,0.3189)","(0.0000,0.0000)","(0.4435,0.3142)","(0.4556,0.3777)","(0.3176,0.3776)","(0.5687,0.4578)","(0.3074,0.4609)","(0.6317,0.4131)","(0.4347,0.4030)","(0.4199,0.5588)","(0.3043,0.5661)","(0.5219,0.6597)","(0.2902,0.6947)","(0.5566,0.7938)","(0.1145,0.8181)"
1,"(0.5167,0.3412)","(0.0000,0.0000)","(0.5123,0.3275)","(0.0000,0.0000)","(0.4616,0.3237)","(0.4604,0.3837)","(0.3371,0.3893)","(0.5895,0.4566)","(0.3310,0.4725)","(0.6693,0.4091)","(0.4466,0.4104)","(0.4314,0.5606)","(0.3274,0.5708)","(0.5384,0.6588)","(0.3349,0.7001)","(0.5600,0.7972)","(0.1342,0.8151)"
2,"(0.5287,0.3495)","(0.0000,0.0000)","(0.5243,0.3357)","(0.0000,0.0000)","(0.4700,0.3323)","(0.4619,0.3902)","(0.3438,0.4009)","(0.5892,0.4637)","(0.3589,0.4880)","(0.6542,0.4134)","(0.4608,0.4210)","(0.4411,0.5643)","(0.3395,0.5782)","(0.5580,0.6579)","(0.3633,0.7108)","(0.5578,0.7969)","(0.1491,0.8128)"
3,"(0.5366,0.3550)","(0.0000,0.0000)","(0.5317,0.3422)","(0.0000,0.0000)","(0.4788,0.3401)","(0.4475,0.3939)","(0.3781,0.4080)","(0.5428,0.4736)","(0.3865,0.5022)","(0.6121,0.4190)","(0.4695,0.4498)","(0.4447,0.5665)","(0.3732,0.5821)","(0.5708,0.6628)","(0.4031,0.7183)","(0.5611,0.7964)","(0.1716,0.8078)"
4,"(0.5496,0.3638)","(0.0000,0.0000)","(0.5469,0.3521)","(0.0000,0.0000)","(0.5005,0.3478)","(0.4235,0.3928)","(0.4291,0.4104)","(0.4495,0.4888)","(0.4418,0.5058)","(0.5678,0.4400)","(0.5582,0.4404)","(0.4325,0.5662)","(0.4029,0.5833)","(0.5827,0.6613)","(0.4337,0.7190)","(0.5702,0.7917)","(0.1760,0.8006)"
5,"(0.5544,0.3712)","(0.0000,0.0000)","(0.5506,0.3602)","(0.0000,0.0000)","(0.5124,0.3568)","(0.4040,0.4084)","(0.4702,0.4070)","(0.4889,0.4840)","(0.5484,0.4951)","(0.6464,0.4425)","(0.6814,0.4349)","(0.3911,0.5847)","(0.4596,0.5844)","(0.4207,0.7156)","(0.6055,0.6756)","(0.2067,0.8057)","(0.5558,0.7934)"
6,"(0.0000,0.0000)","(0.0000,0.0000)","(0.5507,0.3636)","(0.0000,0.0000)","(0.5199,0.3606)","(0.3756,0.4101)","(0.5088,0.4132)","(0.0000,0.0000)","(0.6617,0.4480)","(0.0000,0.0000)","(0.8074,0.4145)","(0.3949,0.5803)","(0.4472,0.5877)","(0.5690,0.6764)","(0.4531,0.7076)","(0.5329,0.7889)","(0.2087,0.8089)"
7,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5253,0.3685)","(0.3700,0.4036)","(0.5075,0.4184)","(0.4533,0.4541)","(0.6998,0.4313)","(0.0000,0.0000)","(0.8478,0.4067)","(0.4008,0.5783)","(0.4419,0.5962)","(0.5809,0.6645)","(0.4480,0.7270)","(0.5888,0.7885)","(0.1830,0.8091)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5435,0.3654)","(0.3738,0.4152)","(0.5090,0.4029)","(0.0000,0.0000)","(0.6855,0.4229)","(0.0000,0.0000)","(0.8321,0.4109)","(0.3820,0.5895)","(0.4871,0.5852)","(0.4302,0.7174)","(0.5933,0.6690)","(0.2111,0.8001)","(0.5541,0.7981)"
9,"(0.0000,0.0000)","(0.0000,0.0000)","(0.5545,0.3655)","(0.0000,0.0000)","(0.5203,0.3629)","(0.3820,0.4051)","(0.5011,0.4185)","(0.5024,0.4685)","(0.6555,0.4558)","(0.0000,0.0000)","(0.7861,0.4305)","(0.4095,0.5752)","(0.4472,0.5920)","(0.5806,0.6639)","(0.4518,0.7232)","(0.5877,0.7906)","(0.1888,0.8076)"
10,"(0.5581,0.3718)","(0.0000,0.0000)","(0.5590,0.3601)","(0.0000,0.0000)","(0.5162,0.3560)","(0.3956,0.4008)","(0.4813,0.4139)","(0.4232,0.4847)","(0.5598,0.4817)","(0.0000,0.0000)","(0.7033,0.4486)","(0.4206,0.5708)","(0.4395,0.5858)","(0.5782,0.6611)","(0.4365,0.7200)","(0.5741,0.7935)","(0.1886,0.8086)"
11,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5321,0.3496)","(0.4174,0.3907)","(0.4741,0.4075)","(0.4185,0.4771)","(0.4840,0.4910)","(0.0000,0.0000)","(0.6234,0.4521)","(0.4336,0.5649)","(0.4354,0.5796)","(0.5782,0.6612)","(0.4276,0.7102)","(0.5732,0.7925)","(0.1817,0.8056)"
12,"(0.5663,0.3588)","(0.0000,0.0000)","(0.5570,0.3475)","(0.0000,0.0000)","(0.5035,0.3452)","(0.4565,0.3873)","(0.4403,0.4030)","(0.4632,0.4689)","(0.4397,0.4862)","(0.0000,0.0000)","(0.5721,0.4436)","(0.4661,0.5581)","(0.4213,0.5734)","(0.5795,0.6620)","(0.4199,0.7109)","(0.5661,0.7930)","(0.1730,0.8045)"
