frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.5143,0.3272)","(0.0000,0.0000)","(0.5039,0.3142)","(0.0000,0.0000)","(0.4421,0.3104)","(0.4651,0.3757)","(0.3189,0.3718)","(0.5756,0.4582)","(0.3100,0.4608)","(0.6395,0.4100)","(0.4317,0.3981)","(0.4225,0.5536)","(0.3053,0.5571)","(0.5174,0.6661)","(0.2934,0.6828)","(0.5098,0.8000)","(0.1473,0.8141)"
1,"(0.5208,0.3411)","(0.0000,0.0000)","(0.5102,0.3276)","(0.0000,0.0000)","(0.4457,0.3240)","(0.4627,0.3833)","(0.3295,0.3883)","(0.5869,0.4583)","(0.3338,0.4742)","(0.6631,0.4138)","(0.4430,0.4127)","(0.4393,0.5548)","(0.3274,0.5644)","(0.5410,0.6607)","(0.3233,0.6986)","(0.5612,0.7950)","(0.1335,0.8150)"
2,"(0.5269,0.3503)","(0.0000,0.0000)","(0.5178,0.3366)","(0.0000,0.0000)","(0.4542,0.3317)","(0.4602,0.3878)","(0.3404,0.3994)","(0.5881,0.4643)","(0.3640,0.4896)","(0.6505,0.4125)","(0.4622,0.4194)","(0.4453,0.5596)","(0.3433,0.5737)","(0.5583,0.6568)","(0.3672,0.7078)","(0.5548,0.7941)","(0.1528,0.8130)"
3,"(0.5383,0.3558)","(0.0000,0.0000)","(0.5247,0.3432)","(0.0000,0.0000)","(0.4648,0.3413)","(0.4636,0.4048)","(0.3752,0.4005)","(0.5485,0.4759)","(0.3961,0.5019)","(0.6068,0.4197)","(0.4869,0.4236)","(0.4411,0.5764)","(0.4117,0.5745)","(0.4367,0.7024)","(0.5735,0.6648)","(0.2189,0.8086)","(0.5289,0.7977)"
4,"(0.5382,0.3626)","(0.0000,0.0000)","(0.5202,0.3506)","(0.0000,0.0000)","(0.4598,0.3498)","(0.4463,0.3987)","(0.4274,0.4109)","(0.4641,0.4858)","(0.4450,0.5020)","(0.5622,0.4377)","(0.5512,0.4418)","(0.4531,0.5699)","(0.4090,0.5826)","(0.5773,0.6673)","(0.4283,0.7125)","(0.5760,0.7895)","(0.1769,0.8072)"
5,"(0.5536,0.3706)","(0.0000,0.0000)","(0.5413,0.3589)","(0.0000,0.0000)","(0.4764,0.3593)","(0.4157,0.4047)","(0.4556,0.4215)","(0.5081,0.4789)","(0.5535,0.4897)","(0.6742,0.4360)","(0.6886,0.4335)","(0.4270,0.5766)","(0.4207,0.5919)","(0.5770,0.6693)","(0.4434,0.7238)","(0.5654,0.7942)","(0.1820,0.8083)"
6,"(0.5582,0.3798)","(0.0000,0.0000)","(0.5517,0.3676)","(0.0000,0.0000)","(0.5135,0.3621)","(0.3700,0.4169)","(0.4976,0.4106)","(0.0000,0.0000)","(0.6643,0.4532)","(0.0000,0.0000)","(0.8103,0.4152)","(0.3862,0.5860)","(0.4866,0.5842)","(0.4344,0.7117)","(0.6045,0.6722)","(0.2395,0.8052)","(0.5298,0.7962)"
7,"(0.5602,0.3827)","(0.0000,0.0000)","(0.5546,0.3709)","(0.0000,0.0000)","(0.5180,0.3657)","(0.3783,0.4175)","(0.4917,0.4056)","(0.0000,0.0000)","(0.7004,0.4282)","(0.0000,0.0000)","(0.8371,0.4044)","(0.4026,0.5924)","(0.4847,0.5886)","(0.4529,0.7153)","(0.6051,0.6687)","(0.2059,0.8043)","(0.5663,0.7937)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5405,0.3634)","(0.3726,0.4127)","(0.5134,0.4137)","(0.0000,0.0000)","(0.6874,0.4238)","(0.0000,0.0000)","(0.8094,0.4139)","(0.4100,0.5807)","(0.4645,0.5937)","(0.5753,0.6693)","(0.4533,0.7192)","(0.5542,0.7851)","(0.1961,0.8104)"
9,"(0.5552,0.3802)","(0.0000,0.0000)","(0.5584,0.3668)","(0.0000,0.0000)","(0.5211,0.3581)","(0.3866,0.4102)","(0.4957,0.4114)","(0.4674,0.4705)","(0.6412,0.4532)","(0.0000,0.0000)","(0.7825,0.4265)","(0.4193,0.5806)","(0.4593,0.5873)","(0.5581,0.6818)","(0.4644,0.7108)","(0.5206,0.7973)","(0.2115,0.8028)"
10,"(0.5581,0.3740)","(0.0000,0.0000)","(0.5540,0.3627)","(0.0000,0.0000)","(0.5142,0.3576)","(0.4026,0.4083)","(0.4803,0.4036)","(0.4547,0.4804)","(0.5586,0.4802)","(0.0000,0.0000)","(0.7134,0.4441)","(0.3976,0.5818)","(0.4681,0.5811)","(0.4349,0.7084)","(0.6031,0.6736)","(0.2422,0.8065)","(0.5499,0.7994)"
11,"(0.5581,0.3636)","(0.0000,0.0000)","(0.5505,0.3526)","(0.0000,0.0000)","(0.4988,0.3510)","(0.4233,0.3942)","(0.4683,0.4098)","(0.4410,0.4771)","(0.4909,0.4911)","(0.0000,0.0000)","(0.6284,0.4539)","(0.4366,0.5627)","(0.4330,0.5769)","(0.5767,0.6609)","(0.4404,0.7090)","(0.5735,0.7893)","(0.1883,0.8027)"
12,"(0.5646,0.3578)","(0.0000,0.0000)","(0.5549,0.3461)","(0.0000,0.0000)","(0.5019,0.3445)","(0.4496,0.3895)","(0.4418,0.4045)","(0.4577,0.4724)","(0.4441,0.4853)","(0.0000,0.0000)","(0.5651,0.4404)","(0.4610,0.5596)","(0.4224,0.5752)","(0.5747,0.6584)","(0.4194,0.7104)","(0.5658,0.7921)","(0.1781,0.8053)"
13,"(0.5577,0.3556)","(0.5599,0.3448)","(0.5376,0.3439)","(0.0000,0.0000)","(0.4694,0.3411)","(0.4644,0.3877)","(0.4116,0.3891)","(0.4983,0.4605)","(0.4064,0.4722)","(0.5768,0.4202)","(0.5299,0.4266)","(0.4639,0.5590)","(0.4144,0.5645)","(0.5064,0.6788)","(0.4662,0.6852)","(0.4496,0.7987)","(0.2739,0.8066)"
14,"(0.5460,0.3465)","(0.0000,0.0000)","(0.5332,0.3340)","(0.0000,0.0000)","(0.4722,0.3303)","(0.4716,0.3851)","(0.3773,0.3814)","(0.5189,0.4783)","(0.3829,0.4683)","(0.5465,0.4198)","(0.4884,0.4172)","(0.4875,0.5545)","(0.3911,0.5613)","(0.5640,0.6651)","(0.3704,0.6892)","(0.5691,0.7999)","(0.1788,0.8069)"
15,"(0.5146,0.3390)","(0.0000,0.0000)","(0.5010,0.3261)","(0.0000,0.0000)","(0.4468,0.3233)","(0.4798,0.3851)","(0.3500,0.3804)","(0.5333,0.4729)","(0.3633,0.4604)","(0.5528,0.4185)","(0.4636,0.3972)","(0.4629,0.5561)","(0.3518,0.5603)","(0.5416,0.6665)","(0.3359,0.6899)","(0.5614,0.7935)","(0.1915,0.8049)"
16,"(0.5212,0.3413)","(0.0000,0.0000)","(0.5062,0.3285)","(0.0000,0.0000)","(0.4477,0.3247)","(0.4809,0.3834)","(0.3551,0.3804)","(0.5306,0.4710)","(0.3627,0.4575)","(0.5536,0.4175)","(0.4585,0.3969)","(0.4662,0.5536)","(0.3577,0.5588)","(0.5449,0.6631)","(0.3466,0.6893)","(0.5631,0.7938)","(0.1883,0.8045)"
17,"(0.4993,0.3372)","(0.0000,0.0000)","(0.4830,0.3247)","(0.0000,0.0000)","(0.4239,0.3203)","(0.4695,0.3812)","(0.3297,0.3743)","(0.5258,0.4690)","(0.3408,0.4458)","(0.5441,0.4165)","(0.4293,0.3779)","(0.4646,0.5537)","(0.3472,0.5566)","(0.5317,0.6689)","(0.3099,0.6853)","(0.5611,0.7950)","(0.1960,0.8098)"
