frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6344,0.4764)","(0.0000,0.0000)","(0.6277,0.4622)","(0.0000,0.0000)","(0.5666,0.4549)","(0.5728,0.5175)","(0.4379,0.5166)","(0.6889,0.5978)","(0.4488,0.6054)","(0.7440,0.5550)","(0.5697,0.5381)","(0.5546,0.6911)","(0.4341,0.7000)","(0.6481,0.7971)","(0.4222,0.8311)","(0.6968,0.9295)","(0.2318,0.9615)"
1,"(0.6450,0.4846)","(0.0000,0.0000)","(0.6412,0.4708)","(0.0000,0.0000)","(0.5866,0.4631)","(0.5921,0.5221)","(0.4626,0.5260)","(0.7197,0.5980)","(0.4636,0.6182)","(0.7949,0.5494)","(0.5734,0.5473)","(0.5607,0.6942)","(0.4518,0.7035)","(0.6674,0.7959)","(0.4604,0.8349)","(0.6921,0.9298)","(0.2551,0.9520)"
2,"(0.6555,0.4901)","(0.0000,0.0000)","(0.6493,0.4771)","(0.0000,0.0000)","(0.5998,0.4742)","(0.5950,0.5281)","(0.4820,0.5431)","(0.7129,0.6007)","(0.4886,0.6251)","(0.7814,0.5506)","(0.5884,0.5580)","(0.5737,0.7044)","(0.4745,0.7186)","(0.6904,0.8008)","(0.4948,0.8485)","(0.6824,0.9325)","(0.2837,0.9473)"
3,"(0.6657,0.4972)","(0.0000,0.0000)","(0.6576,0.4842)","(0.0000,0.0000)","(0.6003,0.4825)","(0.5794,0.5343)","(0.5049,0.5523)","(0.6796,0.6100)","(0.5146,0.6402)","(0.7374,0.5548)","(0.5970,0.5863)","(0.5746,0.7054)","(0.4996,0.7215)","(0.7011,0.8017)","(0.5310,0.8538)","(0.6848,0.9347)","(0.2969,0.9412)"
4,"(0.6749,0.5046)","(0.0000,0.0000)","(0.6655,0.4926)","(0.0000,0.0000)","(0.6066,0.4909)","(0.5428,0.5371)","(0.5530,0.5552)","(0.5741,0.6329)","(0.5869,0.6450)","(0.6844,0.5782)","(0.6904,0.5810)","(0.5614,0.7025)","(0.5324,0.7208)","(0.7071,0.8030)","(0.5573,0.8616)","(0.6896,0.9362)","(0.2959,0.9406)"
5,"(0.6781,0.5114)","(0.0000,0.0000)","(0.6735,0.4995)","(0.0000,0.0000)","(0.6197,0.4974)","(0.5219,0.5440)","(0.5906,0.5620)","(0.5805,0.6282)","(0.6718,0.6322)","(0.7354,0.5936)","(0.7818,0.5910)","(0.5374,0.7191)","(0.5479,0.7352)","(0.7095,0.8069)","(0.5664,0.8650)","(0.6882,0.9364)","(0.3144,0.9380)"
6,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.6499,0.5025)","(0.5029,0.5396)","(0.6287,0.5601)","(0.5910,0.5993)","(0.8010,0.5929)","(0.0000,0.0000)","(0.9327,0.5569)","(0.5226,0.7160)","(0.5618,0.7336)","(0.7162,0.8009)","(0.5714,0.8677)","(0.6944,0.9327)","(0.3140,0.9390)"
7,"(0.6726,0.5237)","(0.0000,0.0000)","(0.6704,0.5123)","(0.0000,0.0000)","(0.6245,0.5080)","(0.5088,0.5396)","(0.6231,0.5593)","(0.6181,0.5779)","(0.8259,0.5652)","(0.0000,0.0000)","(0.9406,0.5477)","(0.5375,0.7144)","(0.5677,0.7317)","(0.7207,0.8019)","(0.5722,0.8699)","(0.6982,0.9347)","(0.3121,0.9404)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.6480,0.5068)","(0.5051,0.5400)","(0.6383,0.5575)","(0.6282,0.5841)","(0.8266,0.5694)","(0.0000,0.0000)","(0.9382,0.5520)","(0.5311,0.7130)","(0.5758,0.7289)","(0.7138,0.7986)","(0.5699,0.8628)","(0.6989,0.9319)","(0.3116,0.9391)"
9,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.6619,0.5015)","(0.5055,0.5400)","(0.6377,0.5552)","(0.5930,0.6035)","(0.7968,0.5920)","(0.0000,0.0000)","(0.9174,0.5651)","(0.5320,0.7111)","(0.5770,0.7259)","(0.7097,0.8001)","(0.5696,0.8589)","(0.6994,0.9326)","(0.3154,0.9385)"
