frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6570,0.2777)","(0.6788,0.2639)","(0.0000,0.0000)","(0.7478,0.2676)","(0.0000,0.0000)","(0.7690,0.3400)","(0.8154,0.3344)","(0.7181,0.4410)","(0.0000,0.0000)","(0.6218,0.3741)","(0.0000,0.0000)","(0.7680,0.5392)","(0.8135,0.5322)","(0.6623,0.6970)","(0.7949,0.6905)","(0.7468,0.8854)","(0.8631,0.8613)"
1,"(0.6449,0.2771)","(0.6663,0.2630)","(0.0000,0.0000)","(0.7362,0.2663)","(0.0000,0.0000)","(0.7593,0.3367)","(0.8097,0.3326)","(0.7017,0.4386)","(0.0000,0.0000)","(0.5991,0.3703)","(0.0000,0.0000)","(0.7584,0.5411)","(0.8050,0.5343)","(0.6550,0.7050)","(0.7988,0.6953)","(0.7187,0.8983)","(0.8654,0.8634)"
2,"(0.6364,0.2775)","(0.6555,0.2633)","(0.0000,0.0000)","(0.7281,0.2648)","(0.0000,0.0000)","(0.7518,0.3347)","(0.7933,0.3320)","(0.6794,0.4377)","(0.0000,0.0000)","(0.6011,0.3696)","(0.6221,0.3764)","(0.7575,0.5428)","(0.8032,0.5352)","(0.6485,0.7087)","(0.7847,0.6992)","(0.6807,0.9182)","(0.8723,0.8686)"
3,"(0.6207,0.2762)","(0.6439,0.2618)","(0.0000,0.0000)","(0.7155,0.2648)","(0.0000,0.0000)","(0.7221,0.3316)","(0.7839,0.3293)","(0.6532,0.4411)","(0.0000,0.0000)","(0.5811,0.3693)","(0.5942,0.3737)","(0.7477,0.5383)","(0.8065,0.5345)","(0.6467,0.7029)","(0.8017,0.6992)","(0.6460,0.8927)","(0.8693,0.8679)"
4,"(0.6093,0.2767)","(0.6315,0.2621)","(0.6067,0.2642)","(0.7006,0.2645)","(0.0000,0.0000)","(0.7124,0.3318)","(0.7714,0.3302)","(0.6335,0.4372)","(0.0000,0.0000)","(0.5726,0.3669)","(0.5931,0.3703)","(0.7376,0.5394)","(0.7941,0.5349)","(0.6361,0.7121)","(0.7848,0.7033)","(0.6246,0.9135)","(0.8707,0.8681)"
5,"(0.5931,0.2768)","(0.6130,0.2615)","(0.5916,0.2645)","(0.6868,0.2625)","(0.0000,0.0000)","(0.7043,0.3340)","(0.7554,0.3361)","(0.6051,0.4311)","(0.6779,0.4345)","(0.5597,0.3642)","(0.5736,0.3698)","(0.7349,0.5482)","(0.7856,0.5419)","(0.6108,0.7256)","(0.7549,0.7048)","(0.6032,0.9428)","(0.8700,0.8651)"
6,"(0.5819,0.2778)","(0.6008,0.2624)","(0.5812,0.2654)","(0.6726,0.2625)","(0.0000,0.0000)","(0.6861,0.3350)","(0.7426,0.3378)","(0.5820,0.4352)","(0.6566,0.4410)","(0.5354,0.3772)","(0.5464,0.3819)","(0.7201,0.5552)","(0.7759,0.5478)","(0.5868,0.7341)","(0.7441,0.7061)","(0.5940,0.9483)","(0.8694,0.8576)"
7,"(0.5695,0.2803)","(0.5912,0.2650)","(0.0000,0.0000)","(0.6633,0.2650)","(0.0000,0.0000)","(0.6698,0.3363)","(0.7298,0.3363)","(0.5575,0.4358)","(0.6135,0.4375)","(0.4889,0.3683)","(0.5090,0.3771)","(0.7079,0.5568)","(0.7651,0.5502)","(0.5672,0.7284)","(0.7351,0.7080)","(0.5997,0.9268)","(0.8648,0.8625)"
8,"(0.5695,0.2802)","(0.5914,0.2650)","(0.0000,0.0000)","(0.6637,0.2650)","(0.0000,0.0000)","(0.6694,0.3359)","(0.7298,0.3356)","(0.5574,0.4357)","(0.6141,0.4372)","(0.4888,0.3682)","(0.5087,0.3767)","(0.7080,0.5547)","(0.7656,0.5480)","(0.5671,0.7274)","(0.7336,0.7070)","(0.5975,0.9275)","(0.8666,0.8624)"
9,"(0.5584,0.2809)","(0.5781,0.2653)","(0.0000,0.0000)","(0.6504,0.2640)","(0.0000,0.0000)","(0.6634,0.3356)","(0.7147,0.3365)","(0.5424,0.4347)","(0.5955,0.4359)","(0.4739,0.3657)","(0.4916,0.3749)","(0.6995,0.5615)","(0.7479,0.5544)","(0.5501,0.7347)","(0.6971,0.7133)","(0.5924,0.9257)","(0.8667,0.8489)"
10,"(0.5418,0.2708)","(0.5620,0.2546)","(0.0000,0.0000)","(0.6366,0.2543)","(0.0000,0.0000)","(0.6855,0.3311)","(0.6823,0.3338)","(0.5633,0.4343)","(0.5812,0.4310)","(0.5037,0.3533)","(0.5071,0.3530)","(0.7041,0.5675)","(0.7114,0.5594)","(0.5511,0.7436)","(0.6747,0.7142)","(0.5959,0.9308)","(0.8563,0.8415)"
11,"(0.5341,0.2489)","(0.5569,0.2324)","(0.0000,0.0000)","(0.6357,0.2341)","(0.0000,0.0000)","(0.7208,0.3167)","(0.6368,0.3241)","(0.6327,0.4256)","(0.5794,0.4315)","(0.5454,0.3448)","(0.4993,0.3783)","(0.7156,0.5590)","(0.6669,0.5525)","(0.5712,0.7410)","(0.6627,0.7145)","(0.6217,0.9344)","(0.8438,0.8399)"
12,"(0.5264,0.2328)","(0.5585,0.2170)","(0.5123,0.2204)","(0.6430,0.2236)","(0.0000,0.0000)","(0.7514,0.3136)","(0.5583,0.3185)","(0.7009,0.4199)","(0.4924,0.4248)","(0.5867,0.2984)","(0.3797,0.3607)","(0.7091,0.5607)","(0.6093,0.5508)","(0.5886,0.7391)","(0.6727,0.7201)","(0.5895,0.9436)","(0.8120,0.8510)"
13,"(0.5270,0.2237)","(0.5642,0.2067)","(0.5084,0.2092)","(0.6532,0.2138)","(0.0000,0.0000)","(0.7555,0.3080)","(0.5009,0.3143)","(0.7610,0.4113)","(0.3721,0.4073)","(0.6388,0.2926)","(0.2402,0.3270)","(0.7503,0.5664)","(0.6145,0.5611)","(0.6382,0.7451)","(0.6809,0.7380)","(0.5982,0.9479)","(0.7867,0.8912)"
14,"(0.5340,0.2229)","(0.5724,0.2048)","(0.5149,0.2082)","(0.6576,0.2112)","(0.0000,0.0000)","(0.7550,0.3109)","(0.4634,0.2978)","(0.8128,0.4121)","(0.1939,0.3230)","(0.6637,0.3053)","(0.1552,0.2905)","(0.7549,0.5607)","(0.6133,0.5537)","(0.6300,0.7370)","(0.7040,0.7317)","(0.6057,0.9371)","(0.8054,0.8893)"
15,"(0.5266,0.2179)","(0.5643,0.1987)","(0.5053,0.2030)","(0.6549,0.2003)","(0.0000,0.0000)","(0.7429,0.3016)","(0.4630,0.2848)","(0.7970,0.4172)","(0.2297,0.2940)","(0.6390,0.3073)","(0.0509,0.2522)","(0.7429,0.5461)","(0.6031,0.5389)","(0.6478,0.7278)","(0.6884,0.7297)","(0.6345,0.9321)","(0.8047,0.8890)"
16,"(0.5210,0.2106)","(0.5568,0.1921)","(0.5042,0.1950)","(0.6451,0.1945)","(0.0000,0.0000)","(0.7468,0.3011)","(0.4644,0.2779)","(0.7812,0.4233)","(0.2300,0.3073)","(0.6407,0.3044)","(0.0919,0.2597)","(0.7209,0.5513)","(0.5820,0.5365)","(0.6090,0.7399)","(0.6914,0.7154)","(0.5971,0.9441)","(0.8014,0.8789)"
17,"(0.5212,0.2072)","(0.5577,0.1877)","(0.5029,0.1910)","(0.6503,0.1892)","(0.0000,0.0000)","(0.7521,0.2993)","(0.4672,0.2771)","(0.7505,0.4288)","(0.2152,0.3219)","(0.6248,0.3097)","(0.1210,0.2775)","(0.7071,0.5573)","(0.5660,0.5405)","(0.5794,0.7486)","(0.6511,0.7175)","(0.5743,0.9479)","(0.7877,0.8619)"
18,"(0.5196,0.2025)","(0.5597,0.1824)","(0.4974,0.1846)","(0.6605,0.1806)","(0.0000,0.0000)","(0.7457,0.2873)","(0.5036,0.2774)","(0.7049,0.4236)","(0.3977,0.3815)","(0.6011,0.3032)","(0.2599,0.3175)","(0.6877,0.5443)","(0.5575,0.5270)","(0.5747,0.7452)","(0.6070,0.7078)","(0.5669,0.9508)","(0.7714,0.8465)"
19,"(0.5150,0.1982)","(0.5547,0.1775)","(0.4929,0.1795)","(0.6564,0.1736)","(0.0000,0.0000)","(0.7310,0.2820)","(0.5289,0.2753)","(0.6802,0.4170)","(0.4657,0.3843)","(0.5749,0.3091)","(0.3398,0.3291)","(0.6810,0.5448)","(0.5695,0.5280)","(0.5670,0.7415)","(0.5833,0.7036)","(0.5785,0.9517)","(0.7453,0.8371)"
20,"(0.5085,0.1939)","(0.5467,0.1740)","(0.4884,0.1776)","(0.6410,0.1748)","(0.0000,0.0000)","(0.7178,0.2833)","(0.5843,0.2849)","(0.6596,0.4235)","(0.5612,0.4068)","(0.5626,0.3050)","(0.4077,0.3522)","(0.6691,0.5455)","(0.5913,0.5338)","(0.5629,0.7384)","(0.5992,0.7093)","(0.5856,0.9342)","(0.7704,0.8300)"
21,"(0.5002,0.1933)","(0.5361,0.1734)","(0.4846,0.1768)","(0.6339,0.1738)","(0.0000,0.0000)","(0.7076,0.2839)","(0.5958,0.2834)","(0.6370,0.4262)","(0.5680,0.4057)","(0.5426,0.3041)","(0.4261,0.3495)","(0.6607,0.5453)","(0.5932,0.5324)","(0.5516,0.7403)","(0.5857,0.7093)","(0.5938,0.9374)","(0.7658,0.8273)"
22,"(0.5009,0.1942)","(0.5337,0.1750)","(0.4871,0.1781)","(0.6316,0.1745)","(0.0000,0.0000)","(0.7070,0.2832)","(0.6070,0.2823)","(0.6102,0.4191)","(0.5697,0.4116)","(0.5207,0.2983)","(0.4374,0.3470)","(0.6550,0.5466)","(0.5993,0.5330)","(0.5559,0.7421)","(0.5961,0.7146)","(0.6047,0.9370)","(0.7692,0.8396)"
