frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.3383,0.2759)","(0.0000,0.0000)","(0.3204,0.2620)","(0.0000,0.0000)","(0.2545,0.2644)","(0.1916,0.3322)","(0.2309,0.3322)","(0.0000,0.0000)","(0.2875,0.4407)","(0.0000,0.0000)","(0.3734,0.3737)","(0.1913,0.5344)","(0.2228,0.5415)","(0.2215,0.6968)","(0.3343,0.7046)","(0.1263,0.8618)","(0.2442,0.9059)"
1,"(0.3468,0.2763)","(0.0000,0.0000)","(0.3283,0.2624)","(0.0000,0.0000)","(0.2607,0.2640)","(0.1967,0.3276)","(0.2412,0.3315)","(0.0000,0.0000)","(0.3058,0.4410)","(0.0000,0.0000)","(0.3838,0.3688)","(0.1921,0.5339)","(0.2309,0.5441)","(0.2118,0.6948)","(0.3456,0.7099)","(0.1269,0.8540)","(0.2642,0.9146)"
2,"(0.3603,0.2775)","(0.0000,0.0000)","(0.3378,0.2626)","(0.0000,0.0000)","(0.2663,0.2644)","(0.2055,0.3378)","(0.2494,0.3329)","(0.0000,0.0000)","(0.3240,0.4435)","(0.0000,0.0000)","(0.3940,0.3680)","(0.1981,0.5425)","(0.2358,0.5489)","(0.2129,0.7006)","(0.3389,0.7123)","(0.1247,0.8628)","(0.2992,0.9196)"
3,"(0.3734,0.2764)","(0.0000,0.0000)","(0.3505,0.2620)","(0.0000,0.0000)","(0.2828,0.2645)","(0.2149,0.3320)","(0.2653,0.3274)","(0.0000,0.0000)","(0.3392,0.4411)","(0.0000,0.0000)","(0.4041,0.3641)","(0.1963,0.5374)","(0.2412,0.5426)","(0.2207,0.7010)","(0.3524,0.7095)","(0.1306,0.8779)","(0.3341,0.9110)"
4,"(0.3867,0.2764)","(0.0000,0.0000)","(0.3619,0.2621)","(0.0000,0.0000)","(0.2915,0.2650)","(0.2224,0.3318)","(0.2830,0.3291)","(0.0000,0.0000)","(0.3605,0.4432)","(0.0000,0.0000)","(0.4146,0.3667)","(0.2002,0.5386)","(0.2548,0.5440)","(0.2178,0.7030)","(0.3685,0.7117)","(0.1250,0.8805)","(0.3598,0.9117)"
5,"(0.3989,0.2766)","(0.0000,0.0000)","(0.3748,0.2620)","(0.0000,0.0000)","(0.3050,0.2639)","(0.2321,0.3332)","(0.2981,0.3302)","(0.0000,0.0000)","(0.3863,0.4420)","(0.0000,0.0000)","(0.4310,0.3631)","(0.2079,0.5434)","(0.2669,0.5487)","(0.2205,0.7078)","(0.3828,0.7183)","(0.1270,0.8849)","(0.3853,0.9171)"
6,"(0.4110,0.2764)","(0.0000,0.0000)","(0.3872,0.2617)","(0.0000,0.0000)","(0.3174,0.2648)","(0.2385,0.3294)","(0.3078,0.3297)","(0.0000,0.0000)","(0.4109,0.4442)","(0.0000,0.0000)","(0.4625,0.3644)","(0.2120,0.5426)","(0.2757,0.5510)","(0.2320,0.7075)","(0.4029,0.7234)","(0.1293,0.8778)","(0.3994,0.9266)"
7,"(0.4226,0.2788)","(0.0000,0.0000)","(0.4039,0.2632)","(0.0000,0.0000)","(0.3309,0.2635)","(0.2454,0.3323)","(0.3163,0.3340)","(0.3679,0.4380)","(0.4366,0.4455)","(0.4900,0.3874)","(0.5102,0.3703)","(0.2242,0.5459)","(0.2854,0.5586)","(0.2695,0.7055)","(0.4334,0.7346)","(0.1433,0.8681)","(0.3939,0.9522)"
8,"(0.4228,0.2788)","(0.0000,0.0000)","(0.4039,0.2632)","(0.0000,0.0000)","(0.3300,0.2636)","(0.2440,0.3323)","(0.3167,0.3339)","(0.3665,0.4383)","(0.4359,0.4456)","(0.4894,0.3881)","(0.5092,0.3707)","(0.2212,0.5454)","(0.2839,0.5581)","(0.2678,0.7050)","(0.4334,0.7346)","(0.1408,0.8676)","(0.3938,0.9520)"
9,"(0.4389,0.2784)","(0.0000,0.0000)","(0.4171,0.2629)","(0.0000,0.0000)","(0.3371,0.2641)","(0.2633,0.3326)","(0.3187,0.3352)","(0.3854,0.4347)","(0.4547,0.4479)","(0.4943,0.3763)","(0.5221,0.3670)","(0.2463,0.5490)","(0.2934,0.5640)","(0.3016,0.7025)","(0.4447,0.7393)","(0.1490,0.8449)","(0.4004,0.9510)"
10,"(0.4565,0.2675)","(0.0000,0.0000)","(0.4344,0.2518)","(0.0000,0.0000)","(0.3518,0.2540)","(0.3115,0.3303)","(0.2986,0.3326)","(0.4158,0.4329)","(0.4414,0.4475)","(0.4997,0.3633)","(0.4984,0.3489)","(0.2971,0.5565)","(0.2931,0.5730)","(0.3477,0.7067)","(0.4441,0.7489)","(0.1655,0.8293)","(0.3962,0.9479)"
11,"(0.4675,0.2463)","(0.0000,0.0000)","(0.4465,0.2301)","(0.0000,0.0000)","(0.3651,0.2336)","(0.3631,0.3249)","(0.2700,0.3158)","(0.4245,0.4312)","(0.3691,0.4341)","(0.5039,0.3685)","(0.4554,0.3401)","(0.3438,0.5578)","(0.2875,0.5687)","(0.3548,0.7181)","(0.4304,0.7431)","(0.1711,0.8366)","(0.3901,0.9523)"
12,"(0.4656,0.2335)","(0.4847,0.2195)","(0.4388,0.2156)","(0.0000,0.0000)","(0.3514,0.2191)","(0.4208,0.3214)","(0.2541,0.3095)","(0.4747,0.4314)","(0.2946,0.4276)","(0.5864,0.3668)","(0.3867,0.3072)","(0.3727,0.5524)","(0.2742,0.5621)","(0.3413,0.7116)","(0.3893,0.7411)","(0.1903,0.8505)","(0.3789,0.9570)"
13,"(0.4649,0.2241)","(0.4850,0.2089)","(0.4291,0.2058)","(0.0000,0.0000)","(0.3396,0.2116)","(0.4866,0.3217)","(0.2258,0.3085)","(0.6093,0.4119)","(0.2298,0.4284)","(0.7497,0.3435)","(0.3416,0.3043)","(0.4063,0.5540)","(0.2556,0.5583)","(0.3389,0.7220)","(0.3534,0.7428)","(0.1687,0.8437)","(0.3959,0.9611)"
14,"(0.4654,0.2220)","(0.4864,0.2081)","(0.4267,0.2037)","(0.0000,0.0000)","(0.3428,0.2096)","(0.5046,0.3003)","(0.2232,0.3065)","(0.6850,0.3568)","(0.1745,0.4125)","(0.7696,0.3118)","(0.3300,0.2996)","(0.3930,0.5478)","(0.2498,0.5586)","(0.3060,0.7344)","(0.3692,0.7494)","(0.1655,0.8856)","(0.3833,0.9516)"
15,"(0.4655,0.2200)","(0.4867,0.2014)","(0.4262,0.2024)","(0.0000,0.0000)","(0.3438,0.2044)","(0.5447,0.2787)","(0.2333,0.3069)","(0.7765,0.3039)","(0.1910,0.4179)","(0.9177,0.2801)","(0.3401,0.3052)","(0.4342,0.5324)","(0.2711,0.5526)","(0.3270,0.7017)","(0.3631,0.7496)","(0.1550,0.8364)","(0.3889,0.9583)"
16,"(0.4729,0.2127)","(0.4928,0.1942)","(0.4345,0.1944)","(0.0000,0.0000)","(0.3466,0.1949)","(0.5288,0.2699)","(0.2397,0.2999)","(0.7479,0.3115)","(0.2240,0.4265)","(0.8968,0.2850)","(0.3580,0.3060)","(0.4407,0.5244)","(0.2874,0.5480)","(0.3369,0.6959)","(0.3837,0.7549)","(0.1750,0.8339)","(0.3878,0.9654)"
17,"(0.4731,0.2072)","(0.4948,0.1890)","(0.4360,0.1882)","(0.0000,0.0000)","(0.3486,0.1884)","(0.5135,0.2740)","(0.2476,0.2960)","(0.6853,0.3414)","(0.2444,0.4386)","(0.8430,0.2889)","(0.3630,0.3050)","(0.4453,0.5273)","(0.3000,0.5490)","(0.3496,0.6991)","(0.3952,0.7551)","(0.1957,0.8350)","(0.3937,0.9695)"
18,"(0.4725,0.2000)","(0.4961,0.1828)","(0.4359,0.1803)","(0.0000,0.0000)","(0.3475,0.1801)","(0.4851,0.2797)","(0.2498,0.2875)","(0.5995,0.3830)","(0.2821,0.4465)","(0.7257,0.3254)","(0.3728,0.3161)","(0.4400,0.5290)","(0.3010,0.5456)","(0.3840,0.6948)","(0.4001,0.7486)","(0.2128,0.8276)","(0.4034,0.9602)"
19,"(0.4768,0.1981)","(0.5063,0.1825)","(0.4434,0.1758)","(0.0000,0.0000)","(0.3524,0.1708)","(0.4587,0.2755)","(0.2504,0.2811)","(0.5323,0.3892)","(0.3151,0.4435)","(0.6587,0.3284)","(0.3964,0.3141)","(0.4268,0.5373)","(0.3136,0.5519)","(0.3838,0.7189)","(0.4347,0.7394)","(0.2221,0.8692)","(0.4199,0.9310)"
20,"(0.4937,0.1926)","(0.5141,0.1760)","(0.4586,0.1722)","(0.0000,0.0000)","(0.3608,0.1729)","(0.4261,0.2778)","(0.2662,0.2844)","(0.4428,0.4036)","(0.3398,0.4369)","(0.5953,0.3446)","(0.4215,0.3115)","(0.4149,0.5440)","(0.3222,0.5602)","(0.3979,0.7176)","(0.4494,0.7422)","(0.2213,0.8703)","(0.4112,0.9338)"
21,"(0.4978,0.1918)","(0.5176,0.1760)","(0.4653,0.1715)","(0.0000,0.0000)","(0.3691,0.1712)","(0.4136,0.2747)","(0.2765,0.2796)","(0.4284,0.4059)","(0.3658,0.4339)","(0.5696,0.3449)","(0.4442,0.3039)","(0.4150,0.5356)","(0.3346,0.5516)","(0.4023,0.7109)","(0.4508,0.7363)","(0.2188,0.8668)","(0.4032,0.9298)"
22,"(0.4959,0.1940)","(0.5122,0.1777)","(0.4675,0.1733)","(0.0000,0.0000)","(0.3735,0.1720)","(0.3986,0.2754)","(0.2822,0.2798)","(0.4384,0.4011)","(0.3781,0.4288)","(0.5646,0.3387)","(0.4711,0.3077)","(0.4102,0.5283)","(0.3382,0.5475)","(0.4078,0.6990)","(0.4528,0.7419)","(0.2340,0.8458)","(0.3994,0.9495)"
