frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6613,0.2791)","(0.6794,0.2652)","(0.0000,0.0000)","(0.7472,0.2684)","(0.0000,0.0000)","(0.7666,0.3401)","(0.8049,0.3384)","(0.7204,0.4411)","(0.7430,0.4404)","(0.6425,0.4011)","(0.6560,0.4038)","(0.7791,0.5412)","(0.8124,0.5355)","(0.6533,0.6997)","(0.7802,0.6876)","(0.7390,0.8846)","(0.8704,0.8517)"
1,"(0.6489,0.2768)","(0.6681,0.2631)","(0.0000,0.0000)","(0.7335,0.2666)","(0.0000,0.0000)","(0.7582,0.3367)","(0.8071,0.3324)","(0.7033,0.4394)","(0.0000,0.0000)","(0.6146,0.3826)","(0.0000,0.0000)","(0.7609,0.5375)","(0.8062,0.5309)","(0.6562,0.7002)","(0.7961,0.6900)","(0.7128,0.8937)","(0.8621,0.8578)"
2,"(0.6393,0.2762)","(0.6551,0.2623)","(0.0000,0.0000)","(0.7240,0.2630)","(0.0000,0.0000)","(0.7507,0.3325)","(0.7944,0.3284)","(0.6780,0.4372)","(0.7208,0.4276)","(0.6089,0.3792)","(0.6229,0.3663)","(0.7591,0.5418)","(0.8056,0.5340)","(0.6479,0.7068)","(0.7834,0.6972)","(0.6851,0.9128)","(0.8695,0.8648)"
3,"(0.6244,0.2774)","(0.6430,0.2629)","(0.0000,0.0000)","(0.7131,0.2650)","(0.0000,0.0000)","(0.7367,0.3365)","(0.7811,0.3332)","(0.6573,0.4377)","(0.0000,0.0000)","(0.6021,0.3786)","(0.6098,0.3701)","(0.7634,0.5388)","(0.8122,0.5337)","(0.6417,0.7055)","(0.7744,0.7012)","(0.6566,0.9011)","(0.8513,0.8757)"
4,"(0.6087,0.2766)","(0.6257,0.2624)","(0.0000,0.0000)","(0.6951,0.2648)","(0.0000,0.0000)","(0.7184,0.3361)","(0.7634,0.3304)","(0.6327,0.4378)","(0.6710,0.4291)","(0.5857,0.3773)","(0.6008,0.3638)","(0.7545,0.5434)","(0.8045,0.5364)","(0.6232,0.7137)","(0.7660,0.7051)","(0.6375,0.9178)","(0.8451,0.8790)"
5,"(0.5969,0.2751)","(0.6136,0.2602)","(0.0000,0.0000)","(0.6827,0.2609)","(0.0000,0.0000)","(0.7028,0.3315)","(0.7538,0.3327)","(0.6079,0.4320)","(0.6705,0.4298)","(0.5698,0.3781)","(0.5766,0.3661)","(0.7346,0.5419)","(0.7840,0.5357)","(0.6147,0.7193)","(0.7561,0.6987)","(0.6108,0.9340)","(0.8620,0.8612)"
6,"(0.5847,0.2763)","(0.6014,0.2615)","(0.0000,0.0000)","(0.6677,0.2624)","(0.0000,0.0000)","(0.6859,0.3339)","(0.7382,0.3359)","(0.5848,0.4356)","(0.6505,0.4379)","(0.5489,0.3922)","(0.5542,0.3897)","(0.7214,0.5486)","(0.7735,0.5420)","(0.5940,0.7296)","(0.7482,0.7047)","(0.5947,0.9500)","(0.8651,0.8632)"
7,"(0.5734,0.2802)","(0.5922,0.2654)","(0.0000,0.0000)","(0.6593,0.2654)","(0.0000,0.0000)","(0.6706,0.3350)","(0.7282,0.3351)","(0.5569,0.4347)","(0.6151,0.4383)","(0.5033,0.3861)","(0.5205,0.3965)","(0.7069,0.5525)","(0.7627,0.5469)","(0.5721,0.7270)","(0.7426,0.7107)","(0.5949,0.9308)","(0.8675,0.8716)"
8,"(0.5736,0.2802)","(0.5921,0.2654)","(0.0000,0.0000)","(0.6591,0.2653)","(0.0000,0.0000)","(0.6721,0.3349)","(0.7267,0.3353)","(0.5559,0.4345)","(0.6150,0.4384)","(0.5029,0.3858)","(0.5199,0.3962)","(0.7068,0.5520)","(0.7598,0.5464)","(0.5726,0.7269)","(0.7407,0.7103)","(0.5962,0.9311)","(0.8667,0.8712)"
9,"(0.5614,0.2803)","(0.5796,0.2652)","(0.0000,0.0000)","(0.6478,0.2644)","(0.0000,0.0000)","(0.6656,0.3358)","(0.7092,0.3368)","(0.5396,0.4335)","(0.5898,0.4369)","(0.4863,0.3782)","(0.4989,0.3856)","(0.7033,0.5614)","(0.7452,0.5542)","(0.5543,0.7354)","(0.6960,0.7115)","(0.5917,0.9316)","(0.8666,0.8518)"
10,"(0.5473,0.2698)","(0.5675,0.2537)","(0.0000,0.0000)","(0.6369,0.2532)","(0.0000,0.0000)","(0.6847,0.3294)","(0.6697,0.3346)","(0.5616,0.4319)","(0.5775,0.4292)","(0.5112,0.3685)","(0.5113,0.3629)","(0.7092,0.5640)","(0.7079,0.5575)","(0.5564,0.7413)","(0.6624,0.7153)","(0.5945,0.9290)","(0.8613,0.8318)"
11,"(0.5367,0.2479)","(0.5577,0.2315)","(0.0000,0.0000)","(0.6329,0.2338)","(0.0000,0.0000)","(0.7201,0.3154)","(0.6374,0.3268)","(0.6346,0.4212)","(0.5791,0.4333)","(0.5361,0.3618)","(0.4966,0.3801)","(0.7120,0.5546)","(0.6651,0.5510)","(0.5752,0.7349)","(0.6621,0.7174)","(0.6155,0.9211)","(0.8449,0.8362)"
12,"(0.5290,0.2331)","(0.5609,0.2171)","(0.5171,0.2207)","(0.6451,0.2240)","(0.0000,0.0000)","(0.7592,0.3189)","(0.5315,0.3080)","(0.7028,0.4169)","(0.3332,0.3599)","(0.5997,0.2946)","(0.4016,0.3452)","(0.7137,0.5593)","(0.6037,0.5498)","(0.5876,0.7316)","(0.6821,0.7302)","(0.5925,0.9461)","(0.8270,0.8498)"
13,"(0.5294,0.2206)","(0.5650,0.2043)","(0.5123,0.2068)","(0.6505,0.2125)","(0.0000,0.0000)","(0.7546,0.3064)","(0.5035,0.3092)","(0.7611,0.4122)","(0.3652,0.3956)","(0.6440,0.2979)","(0.2438,0.3181)","(0.7440,0.5604)","(0.6127,0.5530)","(0.6301,0.7434)","(0.6820,0.7288)","(0.6096,0.9467)","(0.8019,0.8816)"
14,"(0.5295,0.2186)","(0.5674,0.2011)","(0.5113,0.2048)","(0.6517,0.2094)","(0.0000,0.0000)","(0.7514,0.3092)","(0.4598,0.2929)","(0.8088,0.4125)","(0.1735,0.3093)","(0.6678,0.3053)","(0.1362,0.2776)","(0.7536,0.5605)","(0.6126,0.5526)","(0.6301,0.7400)","(0.7036,0.7334)","(0.6004,0.9377)","(0.7986,0.8859)"
15,"(0.5225,0.2157)","(0.5599,0.1973)","(0.5026,0.2009)","(0.6477,0.1996)","(0.0000,0.0000)","(0.7322,0.2993)","(0.4653,0.2820)","(0.7919,0.4164)","(0.2353,0.2920)","(0.6423,0.3073)","(0.0553,0.2465)","(0.7507,0.5501)","(0.6185,0.5425)","(0.6410,0.7351)","(0.6991,0.7344)","(0.6144,0.9313)","(0.7868,0.8869)"
16,"(0.5199,0.2072)","(0.5546,0.1889)","(0.5030,0.1923)","(0.6402,0.1921)","(0.0000,0.0000)","(0.7443,0.2991)","(0.4645,0.2774)","(0.7740,0.4259)","(0.2190,0.3028)","(0.6419,0.3089)","(0.0685,0.2496)","(0.7237,0.5520)","(0.5869,0.5380)","(0.5965,0.7388)","(0.6741,0.7188)","(0.5952,0.9396)","(0.8049,0.8641)"
17,"(0.5185,0.2035)","(0.5540,0.1849)","(0.5015,0.1880)","(0.6432,0.1877)","(0.0000,0.0000)","(0.7484,0.2930)","(0.4754,0.2772)","(0.7496,0.4243)","(0.2675,0.3360)","(0.6270,0.3100)","(0.1607,0.2783)","(0.7152,0.5458)","(0.5784,0.5315)","(0.5788,0.7415)","(0.6540,0.7170)","(0.5809,0.9433)","(0.7991,0.8566)"
18,"(0.5217,0.2006)","(0.5553,0.1803)","(0.5016,0.1843)","(0.6517,0.1768)","(0.0000,0.0000)","(0.7440,0.2820)","(0.5307,0.2725)","(0.7120,0.4331)","(0.3822,0.3730)","(0.6165,0.3139)","(0.2529,0.3116)","(0.6937,0.5368)","(0.5840,0.5242)","(0.5915,0.7369)","(0.6372,0.7152)","(0.5871,0.9370)","(0.7835,0.8509)"
19,"(0.5148,0.1935)","(0.5530,0.1740)","(0.4956,0.1753)","(0.6530,0.1715)","(0.0000,0.0000)","(0.7268,0.2781)","(0.5375,0.2703)","(0.6786,0.4173)","(0.4705,0.3851)","(0.5830,0.3087)","(0.3451,0.3280)","(0.6846,0.5458)","(0.5811,0.5290)","(0.5690,0.7447)","(0.5895,0.7076)","(0.5751,0.9507)","(0.7469,0.8389)"
20,"(0.5066,0.1921)","(0.5450,0.1727)","(0.4877,0.1762)","(0.6392,0.1755)","(0.0000,0.0000)","(0.7138,0.2850)","(0.5754,0.2833)","(0.6592,0.4271)","(0.5443,0.3971)","(0.5681,0.3100)","(0.4063,0.3483)","(0.6731,0.5444)","(0.5918,0.5322)","(0.5535,0.7378)","(0.5931,0.7085)","(0.5894,0.9307)","(0.7602,0.8269)"
21,"(0.5029,0.1909)","(0.5401,0.1717)","(0.4859,0.1741)","(0.6323,0.1732)","(0.0000,0.0000)","(0.7007,0.2819)","(0.5956,0.2772)","(0.6353,0.4263)","(0.5647,0.3973)","(0.5381,0.3212)","(0.4244,0.3485)","(0.6595,0.5440)","(0.5999,0.5302)","(0.5490,0.7391)","(0.6079,0.7054)","(0.5840,0.9332)","(0.7656,0.8272)"
22,"(0.5026,0.1923)","(0.5342,0.1727)","(0.4862,0.1753)","(0.6294,0.1696)","(0.0000,0.0000)","(0.6974,0.2768)","(0.5902,0.2722)","(0.6138,0.4176)","(0.5721,0.3989)","(0.5185,0.3391)","(0.4547,0.3462)","(0.6549,0.5458)","(0.6015,0.5281)","(0.5376,0.7446)","(0.5967,0.6984)","(0.5647,0.9518)","(0.7547,0.8213)"
