frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.6577,0.2775)","(0.6777,0.2636)","(0.0000,0.0000)","(0.7474,0.2669)","(0.0000,0.0000)","(0.7698,0.3403)","(0.8203,0.3330)","(0.7172,0.4411)","(0.0000,0.0000)","(0.6341,0.3844)","(0.0000,0.0000)","(0.7789,0.5408)","(0.8243,0.5329)","(0.6661,0.6962)","(0.7881,0.6875)","(0.7441,0.8788)","(0.8690,0.8504)"
1,"(0.6469,0.2778)","(0.6679,0.2634)","(0.0000,0.0000)","(0.7397,0.2656)","(0.0000,0.0000)","(0.7571,0.3393)","(0.8209,0.3315)","(0.6905,0.4418)","(0.0000,0.0000)","(0.6193,0.3816)","(0.0000,0.0000)","(0.7666,0.5450)","(0.8230,0.5370)","(0.6599,0.6989)","(0.7893,0.6903)","(0.7235,0.8842)","(0.8665,0.8562)"
2,"(0.6352,0.2767)","(0.6570,0.2630)","(0.0000,0.0000)","(0.7290,0.2666)","(0.0000,0.0000)","(0.7490,0.3366)","(0.8016,0.3306)","(0.6745,0.4387)","(0.0000,0.0000)","(0.6068,0.3818)","(0.0000,0.0000)","(0.7628,0.5425)","(0.8086,0.5353)","(0.6554,0.7033)","(0.7853,0.6916)","(0.6868,0.8923)","(0.8677,0.8555)"
3,"(0.6231,0.2761)","(0.6454,0.2613)","(0.6193,0.2629)","(0.7165,0.2632)","(0.0000,0.0000)","(0.7348,0.3335)","(0.7857,0.3293)","(0.6555,0.4396)","(0.0000,0.0000)","(0.5976,0.3828)","(0.6115,0.3903)","(0.7502,0.5378)","(0.7985,0.5316)","(0.6468,0.7055)","(0.7796,0.6942)","(0.6488,0.9007)","(0.8656,0.8598)"
4,"(0.6097,0.2793)","(0.6287,0.2643)","(0.0000,0.0000)","(0.6991,0.2655)","(0.0000,0.0000)","(0.7167,0.3368)","(0.7821,0.3318)","(0.6333,0.4394)","(0.0000,0.0000)","(0.5834,0.3740)","(0.6005,0.3711)","(0.7601,0.5387)","(0.8245,0.5329)","(0.6313,0.7075)","(0.7851,0.7015)","(0.6347,0.9002)","(0.8549,0.8731)"
5,"(0.5992,0.2766)","(0.6192,0.2615)","(0.0000,0.0000)","(0.6882,0.2619)","(0.0000,0.0000)","(0.7005,0.3320)","(0.7661,0.3298)","(0.6096,0.4399)","(0.0000,0.0000)","(0.5617,0.3848)","(0.5844,0.3910)","(0.7413,0.5367)","(0.8010,0.5314)","(0.6225,0.7101)","(0.7674,0.6978)","(0.6048,0.9119)","(0.8726,0.8640)"
6,"(0.5827,0.2780)","(0.6001,0.2628)","(0.0000,0.0000)","(0.6705,0.2622)","(0.0000,0.0000)","(0.6877,0.3333)","(0.7407,0.3348)","(0.5804,0.4365)","(0.6577,0.4378)","(0.5392,0.3906)","(0.5515,0.3860)","(0.7287,0.5480)","(0.7803,0.5402)","(0.5960,0.7286)","(0.7392,0.6989)","(0.5927,0.9493)","(0.8704,0.8545)"
7,"(0.5712,0.2803)","(0.5915,0.2653)","(0.0000,0.0000)","(0.6633,0.2650)","(0.0000,0.0000)","(0.6702,0.3362)","(0.7346,0.3351)","(0.5501,0.4354)","(0.6150,0.4371)","(0.4933,0.3723)","(0.5128,0.3769)","(0.7094,0.5576)","(0.7679,0.5506)","(0.5740,0.7261)","(0.7310,0.7059)","(0.5947,0.9232)","(0.8687,0.8571)"
8,"(0.5719,0.2797)","(0.5923,0.2650)","(0.0000,0.0000)","(0.6631,0.2653)","(0.0000,0.0000)","(0.6738,0.3364)","(0.7298,0.3346)","(0.5528,0.4381)","(0.6167,0.4387)","(0.4966,0.3808)","(0.5153,0.3879)","(0.7133,0.5532)","(0.7644,0.5459)","(0.5712,0.7266)","(0.7220,0.7066)","(0.6040,0.9280)","(0.8704,0.8602)"
9,"(0.5597,0.2790)","(0.5770,0.2644)","(0.0000,0.0000)","(0.6445,0.2637)","(0.0000,0.0000)","(0.6698,0.3348)","(0.7071,0.3336)","(0.5398,0.4348)","(0.5983,0.4368)","(0.4888,0.3743)","(0.5015,0.3846)","(0.7036,0.5560)","(0.7391,0.5473)","(0.5551,0.7309)","(0.6868,0.7043)","(0.5955,0.9279)","(0.8783,0.8415)"
10,"(0.5492,0.2692)","(0.5686,0.2540)","(0.0000,0.0000)","(0.6400,0.2545)","(0.0000,0.0000)","(0.6884,0.3357)","(0.6842,0.3257)","(0.5627,0.4428)","(0.5772,0.4122)","(0.5097,0.3631)","(0.5280,0.3398)","(0.7026,0.5692)","(0.7179,0.5543)","(0.5619,0.7426)","(0.6635,0.7085)","(0.5911,0.9433)","(0.8262,0.8396)"
