frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.7804,0.4182)","(0.8022,0.4039)","(0.0000,0.0000)","(0.8710,0.4067)","(0.0000,0.0000)","(0.8916,0.4753)","(0.9470,0.4720)","(0.8456,0.5813)","(0.0000,0.0000)","(0.7459,0.5179)","(0.0000,0.0000)","(0.8981,0.6711)","(0.9507,0.6670)","(0.7784,0.8199)","(0.9242,0.8266)","(0.8543,0.9670)","(0.0000,0.0000)"
1,"(0.7726,0.4184)","(0.7938,0.4043)","(0.0000,0.0000)","(0.8597,0.4071)","(0.0000,0.0000)","(0.8769,0.4754)","(0.9404,0.4721)","(0.8147,0.5829)","(0.0000,0.0000)","(0.7273,0.5115)","(0.0000,0.0000)","(0.8914,0.6732)","(0.9503,0.6693)","(0.7755,0.8226)","(0.9253,0.8279)","(0.8316,0.9667)","(0.0000,0.0000)"
2,"(0.7631,0.4171)","(0.7852,0.4035)","(0.0000,0.0000)","(0.8494,0.4067)","(0.0000,0.0000)","(0.8588,0.4725)","(0.9244,0.4710)","(0.7926,0.5812)","(0.0000,0.0000)","(0.7176,0.5122)","(0.0000,0.0000)","(0.8828,0.6733)","(0.9433,0.6714)","(0.7735,0.8242)","(0.9234,0.8336)","(0.8277,0.9688)","(0.0000,0.0000)"
3,"(0.7484,0.4182)","(0.7709,0.4043)","(0.0000,0.0000)","(0.8389,0.4080)","(0.0000,0.0000)","(0.8529,0.4757)","(0.9183,0.4725)","(0.7774,0.5811)","(0.0000,0.0000)","(0.7073,0.5074)","(0.0000,0.0000)","(0.8761,0.6740)","(0.9390,0.6708)","(0.7570,0.8293)","(0.9339,0.8328)","(0.0000,0.0000)","(0.0000,0.0000)"
4,"(0.7348,0.4174)","(0.7578,0.4033)","(0.0000,0.0000)","(0.8258,0.4067)","(0.0000,0.0000)","(0.8377,0.4741)","(0.9000,0.4724)","(0.7565,0.5816)","(0.0000,0.0000)","(0.6965,0.5089)","(0.0000,0.0000)","(0.8650,0.6747)","(0.9277,0.6725)","(0.7464,0.8339)","(0.9309,0.8383)","(0.0000,0.0000)","(0.0000,0.0000)"
5,"(0.7236,0.4164)","(0.7436,0.4023)","(0.0000,0.0000)","(0.8085,0.4038)","(0.0000,0.0000)","(0.8161,0.4699)","(0.8924,0.4690)","(0.7343,0.5813)","(0.0000,0.0000)","(0.6788,0.5049)","(0.0000,0.0000)","(0.8603,0.6714)","(0.9330,0.6702)","(0.7440,0.8353)","(0.9163,0.8424)","(0.7714,0.9668)","(0.0000,0.0000)"
6,"(0.7081,0.4183)","(0.7303,0.4039)","(0.0000,0.0000)","(0.8002,0.4068)","(0.0000,0.0000)","(0.8100,0.4741)","(0.8750,0.4733)","(0.7099,0.5797)","(0.7662,0.5827)","(0.6615,0.5162)","(0.6651,0.5205)","(0.8467,0.6793)","(0.9100,0.6764)","(0.7139,0.8475)","(0.9013,0.8454)","(0.0000,0.0000)","(0.0000,0.0000)"
7,"(0.6947,0.4206)","(0.7156,0.4051)","(0.0000,0.0000)","(0.7895,0.4035)","(0.0000,0.0000)","(0.7930,0.4747)","(0.8676,0.4727)","(0.6791,0.5821)","(0.0000,0.0000)","(0.6169,0.5106)","(0.6225,0.5135)","(0.8332,0.6835)","(0.9106,0.6799)","(0.6864,0.8483)","(0.8765,0.8489)","(0.0000,0.0000)","(0.0000,0.0000)"
8,"(0.6947,0.4205)","(0.7158,0.4050)","(0.0000,0.0000)","(0.7896,0.4033)","(0.0000,0.0000)","(0.7930,0.4744)","(0.8678,0.4729)","(0.6790,0.5817)","(0.0000,0.0000)","(0.6167,0.5103)","(0.6230,0.5136)","(0.8342,0.6838)","(0.9120,0.6805)","(0.6873,0.8470)","(0.8798,0.8483)","(0.0000,0.0000)","(0.0000,0.0000)"
9,"(0.6825,0.4204)","(0.7044,0.4047)","(0.0000,0.0000)","(0.7789,0.4029)","(0.0000,0.0000)","(0.7877,0.4757)","(0.8462,0.4724)","(0.6685,0.5822)","(0.0000,0.0000)","(0.6038,0.5031)","(0.0000,0.0000)","(0.8303,0.6952)","(0.8929,0.6896)","(0.6749,0.8587)","(0.8402,0.8522)","(0.7284,0.9813)","(0.0000,0.0000)"
10,"(0.6647,0.4105)","(0.6869,0.3945)","(0.0000,0.0000)","(0.7666,0.3932)","(0.0000,0.0000)","(0.8174,0.4733)","(0.7942,0.4705)","(0.6823,0.5803)","(0.6979,0.5733)","(0.6230,0.4844)","(0.6305,0.4833)","(0.8338,0.7055)","(0.8255,0.6942)","(0.6759,0.8648)","(0.7425,0.8331)","(0.7486,0.9522)","(0.0000,0.0000)"
11,"(0.6543,0.3878)","(0.6763,0.3719)","(0.0000,0.0000)","(0.7544,0.3737)","(0.0000,0.0000)","(0.8605,0.4560)","(0.7406,0.4673)","(0.7572,0.5635)","(0.6860,0.5756)","(0.6808,0.4884)","(0.6170,0.5200)","(0.8488,0.6925)","(0.7791,0.6895)","(0.6831,0.8585)","(0.7737,0.8567)","(0.0000,0.0000)","(0.0000,0.0000)"
12,"(0.6478,0.3725)","(0.6814,0.3569)","(0.6357,0.3601)","(0.7737,0.3639)","(0.0000,0.0000)","(0.8790,0.4522)","(0.6873,0.4594)","(0.8229,0.5592)","(0.6191,0.5651)","(0.7262,0.4365)","(0.5085,0.4920)","(0.8427,0.6901)","(0.7406,0.6867)","(0.7252,0.8649)","(0.8047,0.8708)","(0.0000,0.0000)","(0.0000,0.0000)"
13,"(0.6557,0.3663)","(0.6940,0.3481)","(0.6351,0.3519)","(0.7807,0.3536)","(0.0000,0.0000)","(0.8639,0.4445)","(0.6286,0.4564)","(0.8898,0.5563)","(0.4966,0.5514)","(0.7642,0.4356)","(0.3708,0.4561)","(0.8735,0.6972)","(0.7471,0.6993)","(0.7715,0.8784)","(0.7969,0.8861)","(0.0000,0.0000)","(0.0000,0.0000)"
14,"(0.6593,0.3654)","(0.6974,0.3439)","(0.6336,0.3506)","(0.7913,0.3447)","(0.0000,0.0000)","(0.8766,0.4456)","(0.5817,0.4278)","(0.9342,0.5621)","(0.2767,0.4310)","(0.7925,0.4370)","(0.2909,0.4407)","(0.8807,0.6929)","(0.7244,0.6899)","(0.7944,0.8742)","(0.7981,0.8916)","(0.0000,0.0000)","(0.0000,0.0000)"
15,"(0.6573,0.3580)","(0.6924,0.3382)","(0.6335,0.3432)","(0.7838,0.3366)","(0.0000,0.0000)","(0.8653,0.4361)","(0.5886,0.4193)","(0.9227,0.5610)","(0.3654,0.4190)","(0.7791,0.4374)","(0.1837,0.3846)","(0.8693,0.6860)","(0.7140,0.6801)","(0.8023,0.8667)","(0.7741,0.8761)","(0.0000,0.0000)","(0.0000,0.0000)"
16,"(0.6561,0.3528)","(0.6895,0.3309)","(0.6305,0.3375)","(0.7839,0.3267)","(0.0000,0.0000)","(0.8756,0.4365)","(0.5962,0.4162)","(0.9066,0.5726)","(0.3590,0.4263)","(0.7704,0.4495)","(0.1822,0.3887)","(0.8502,0.6827)","(0.7029,0.6747)","(0.7767,0.8675)","(0.8049,0.8708)","(0.0000,0.0000)","(0.0000,0.0000)"
17,"(0.6522,0.3491)","(0.6869,0.3273)","(0.6266,0.3329)","(0.7877,0.3221)","(0.0000,0.0000)","(0.8758,0.4312)","(0.6094,0.4178)","(0.8758,0.5779)","(0.4176,0.4746)","(0.7573,0.4445)","(0.2720,0.4182)","(0.8390,0.6811)","(0.6922,0.6728)","(0.7572,0.8771)","(0.7724,0.8739)","(0.0000,0.0000)","(0.0000,0.0000)"
