frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4018,0.2664)","(0.4323,0.2523)","(0.3727,0.2526)","(0.4785,0.2586)","(0.3368,0.2607)","(0.5402,0.3353)","(0.3162,0.3453)","(0.6039,0.4423)","(0.2811,0.4569)","(0.4827,0.3568)","(0.2768,0.3655)","(0.5355,0.5528)","(0.3786,0.5574)","(0.5834,0.7110)","(0.3757,0.7168)","(0.6429,0.8698)","(0.4249,0.8491)"
1,"(0.4018,0.2664)","(0.4322,0.2524)","(0.3728,0.2526)","(0.4784,0.2589)","(0.3368,0.2609)","(0.5401,0.3354)","(0.3157,0.3453)","(0.6042,0.4422)","(0.2808,0.4567)","(0.4828,0.3570)","(0.2768,0.3654)","(0.5356,0.5531)","(0.3785,0.5578)","(0.5831,0.7113)","(0.3761,0.7171)","(0.6426,0.8698)","(0.4251,0.8490)"
2,"(0.4029,0.2642)","(0.4341,0.2498)","(0.3742,0.2497)","(0.4809,0.2558)","(0.3382,0.2569)","(0.5422,0.3356)","(0.3135,0.3439)","(0.5956,0.4480)","(0.2821,0.4571)","(0.4806,0.3625)","(0.2754,0.3674)","(0.5409,0.5544)","(0.3807,0.5588)","(0.5856,0.7138)","(0.3813,0.7193)","(0.6490,0.8797)","(0.4256,0.8561)"
3,"(0.4046,0.2605)","(0.4373,0.2468)","(0.3776,0.2460)","(0.4865,0.2549)","(0.3437,0.2542)","(0.5455,0.3358)","(0.3158,0.3415)","(0.5913,0.4500)","(0.2832,0.4562)","(0.4890,0.3601)","(0.2744,0.3655)","(0.5445,0.5558)","(0.3821,0.5591)","(0.5904,0.7197)","(0.3851,0.7214)","(0.6562,0.8844)","(0.4201,0.8597)"
4,"(0.4139,0.2584)","(0.4464,0.2446)","(0.3853,0.2446)","(0.4954,0.2533)","(0.3499,0.2546)","(0.5528,0.3354)","(0.3275,0.3417)","(0.5957,0.4497)","(0.2835,0.4557)","(0.5026,0.3570)","(0.2717,0.3661)","(0.5512,0.5573)","(0.3905,0.5602)","(0.5954,0.7230)","(0.3793,0.7233)","(0.6675,0.8890)","(0.4190,0.8623)"
5,"(0.4226,0.2594)","(0.4553,0.2454)","(0.3942,0.2449)","(0.5042,0.2529)","(0.3576,0.2531)","(0.5635,0.3338)","(0.3307,0.3397)","(0.6093,0.4450)","(0.2909,0.4567)","(0.5033,0.3469)","(0.2690,0.3664)","(0.5614,0.5593)","(0.3944,0.5604)","(0.6009,0.7296)","(0.3748,0.7230)","(0.6647,0.8921)","(0.4120,0.8598)"
6,"(0.4328,0.2599)","(0.4656,0.2456)","(0.4051,0.2454)","(0.5160,0.2531)","(0.3701,0.2538)","(0.5779,0.3348)","(0.3368,0.3422)","(0.6266,0.4419)","(0.2960,0.4598)","(0.5085,0.3426)","(0.2724,0.3665)","(0.5699,0.5639)","(0.3965,0.5646)","(0.6074,0.7393)","(0.3613,0.7302)","(0.6604,0.8942)","(0.4185,0.8588)"
7,"(0.4464,0.2608)","(0.4795,0.2469)","(0.4202,0.2449)","(0.5266,0.2527)","(0.3821,0.2498)","(0.5926,0.3329)","(0.3420,0.3394)","(0.6476,0.4407)","(0.3129,0.4653)","(0.5315,0.3456)","(0.2862,0.3813)","(0.5868,0.5663)","(0.4068,0.5659)","(0.6085,0.7404)","(0.3620,0.7301)","(0.6544,0.8886)","(0.4181,0.8529)"
8,"(0.4705,0.2610)","(0.5053,0.2470)","(0.4412,0.2443)","(0.5493,0.2552)","(0.3945,0.2512)","(0.6145,0.3362)","(0.3540,0.3462)","(0.6704,0.4399)","(0.3316,0.4741)","(0.5688,0.3591)","(0.3052,0.3924)","(0.6061,0.5746)","(0.4206,0.5760)","(0.6151,0.7418)","(0.3615,0.7395)","(0.6719,0.8925)","(0.4291,0.8570)"
9,"(0.5015,0.2505)","(0.5355,0.2380)","(0.4720,0.2356)","(0.5763,0.2522)","(0.4260,0.2484)","(0.6328,0.3364)","(0.3699,0.3450)","(0.6856,0.4438)","(0.3353,0.4762)","(0.5713,0.3387)","(0.3154,0.3915)","(0.6086,0.5709)","(0.4200,0.5714)","(0.6313,0.7433)","(0.3864,0.7368)","(0.6778,0.9006)","(0.4114,0.8610)"
10,"(0.5229,0.2458)","(0.5588,0.2327)","(0.4946,0.2297)","(0.6025,0.2454)","(0.4505,0.2394)","(0.6509,0.3361)","(0.3868,0.3389)","(0.7001,0.4479)","(0.3301,0.4662)","(0.6058,0.3461)","(0.3173,0.3880)","(0.6228,0.5696)","(0.4357,0.5683)","(0.6510,0.7434)","(0.4133,0.7335)","(0.6810,0.8983)","(0.4031,0.8599)"
11,"(0.5611,0.2377)","(0.5962,0.2247)","(0.5305,0.2205)","(0.6332,0.2394)","(0.4769,0.2309)","(0.6543,0.3325)","(0.3919,0.3297)","(0.7122,0.4503)","(0.2973,0.4500)","(0.6412,0.3431)","(0.3093,0.3705)","(0.6381,0.5661)","(0.4550,0.5653)","(0.6609,0.7423)","(0.4302,0.7371)","(0.6877,0.9007)","(0.4059,0.8637)"
12,"(0.5889,0.2375)","(0.6224,0.2239)","(0.5579,0.2191)","(0.6524,0.2362)","(0.4979,0.2255)","(0.6369,0.3262)","(0.4131,0.3138)","(0.7209,0.4505)","(0.2589,0.4243)","(0.6786,0.3504)","(0.2897,0.3338)","(0.6394,0.5630)","(0.4821,0.5606)","(0.6754,0.7408)","(0.4472,0.7293)","(0.6959,0.8946)","(0.4061,0.8582)"
13,"(0.6091,0.2383)","(0.6425,0.2242)","(0.5775,0.2199)","(0.6722,0.2348)","(0.5179,0.2238)","(0.6428,0.3316)","(0.4378,0.2978)","(0.7194,0.4481)","(0.2691,0.3321)","(0.6847,0.3466)","(0.2862,0.2578)","(0.6353,0.5663)","(0.4911,0.5582)","(0.6703,0.7410)","(0.4478,0.7371)","(0.6890,0.8983)","(0.3972,0.8574)"
14,"(0.6238,0.2397)","(0.6574,0.2265)","(0.5944,0.2205)","(0.6844,0.2379)","(0.5244,0.2232)","(0.6762,0.3366)","(0.4255,0.2909)","(0.7175,0.4426)","(0.3101,0.2810)","(0.7002,0.3574)","(0.3108,0.2213)","(0.6372,0.5666)","(0.4610,0.5530)","(0.6601,0.7389)","(0.4377,0.7340)","(0.6988,0.9181)","(0.3816,0.8361)"
15,"(0.6237,0.2393)","(0.6580,0.2262)","(0.5945,0.2199)","(0.6858,0.2375)","(0.5244,0.2221)","(0.6780,0.3361)","(0.4253,0.2905)","(0.7168,0.4415)","(0.3210,0.2860)","(0.6998,0.3570)","(0.3417,0.2327)","(0.6374,0.5642)","(0.4594,0.5505)","(0.6601,0.7378)","(0.4401,0.7326)","(0.6970,0.9179)","(0.3826,0.8375)"
16,"(0.6418,0.2365)","(0.6754,0.2227)","(0.6101,0.2179)","(0.0000,0.0000)","(0.5475,0.2188)","(0.6724,0.3334)","(0.4684,0.2805)","(0.7388,0.4504)","(0.3438,0.2640)","(0.7117,0.3506)","(0.2983,0.2202)","(0.6311,0.5625)","(0.4819,0.5485)","(0.6817,0.7351)","(0.4266,0.7446)","(0.6780,0.8838)","(0.3911,0.8667)"
