frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4880,0.2810)","(0.5159,0.2694)","(0.4627,0.2650)","(0.0000,0.0000)","(0.4058,0.2702)","(0.5549,0.3570)","(0.3318,0.3572)","(0.6236,0.4522)","(0.3228,0.4665)","(0.5699,0.3690)","(0.3673,0.3948)","(0.5545,0.5620)","(0.3870,0.5618)","(0.6030,0.7034)","(0.3457,0.7043)","(0.6243,0.8760)","(0.2550,0.8216)"
1,"(0.4881,0.2810)","(0.5159,0.2694)","(0.4627,0.2650)","(0.0000,0.0000)","(0.4056,0.2703)","(0.5549,0.3570)","(0.3317,0.3572)","(0.6236,0.4522)","(0.3229,0.4666)","(0.5699,0.3691)","(0.3673,0.3948)","(0.5546,0.5620)","(0.3869,0.5618)","(0.6029,0.7034)","(0.3457,0.7043)","(0.6240,0.8761)","(0.2548,0.8217)"
2,"(0.5092,0.2753)","(0.5363,0.2633)","(0.4840,0.2589)","(0.0000,0.0000)","(0.4247,0.2627)","(0.5599,0.3508)","(0.3476,0.3496)","(0.6166,0.4489)","(0.3187,0.4575)","(0.5818,0.3707)","(0.3912,0.3917)","(0.5576,0.5601)","(0.3977,0.5602)","(0.6087,0.7006)","(0.3721,0.7046)","(0.6239,0.8742)","(0.2554,0.8116)"
3,"(0.5092,0.2749)","(0.5362,0.2629)","(0.4836,0.2585)","(0.0000,0.0000)","(0.4231,0.2627)","(0.5598,0.3511)","(0.3467,0.3498)","(0.6176,0.4489)","(0.3187,0.4571)","(0.5805,0.3711)","(0.3922,0.3910)","(0.5583,0.5607)","(0.3979,0.5606)","(0.6091,0.7009)","(0.3724,0.7040)","(0.6232,0.8740)","(0.2562,0.8112)"
4,"(0.5289,0.2686)","(0.5540,0.2564)","(0.5026,0.2530)","(0.0000,0.0000)","(0.4406,0.2580)","(0.5678,0.3460)","(0.3676,0.3431)","(0.6101,0.4465)","(0.3265,0.4384)","(0.5837,0.3790)","(0.4229,0.3609)","(0.5659,0.5594)","(0.4141,0.5590)","(0.6042,0.7015)","(0.3920,0.7032)","(0.6189,0.8726)","(0.2603,0.8058)"
5,"(0.5398,0.2672)","(0.5656,0.2549)","(0.5150,0.2518)","(0.0000,0.0000)","(0.4584,0.2547)","(0.5757,0.3417)","(0.3883,0.3310)","(0.5976,0.4441)","(0.3559,0.4085)","(0.5926,0.3758)","(0.4825,0.3285)","(0.5682,0.5529)","(0.4227,0.5498)","(0.6024,0.6997)","(0.3983,0.6989)","(0.6188,0.8724)","(0.2634,0.8028)"
6,"(0.5524,0.2669)","(0.5750,0.2545)","(0.5250,0.2527)","(0.0000,0.0000)","(0.4677,0.2563)","(0.5838,0.3409)","(0.4128,0.3135)","(0.5935,0.4397)","(0.4907,0.3337)","(0.6134,0.3671)","(0.6541,0.2771)","(0.5737,0.5458)","(0.4306,0.5371)","(0.6047,0.6957)","(0.4043,0.6988)","(0.6195,0.8733)","(0.2611,0.8010)"
7,"(0.5605,0.2634)","(0.5856,0.2526)","(0.5326,0.2493)","(0.0000,0.0000)","(0.4718,0.2553)","(0.5819,0.3455)","(0.4423,0.3097)","(0.5901,0.4364)","(0.5508,0.3032)","(0.6192,0.3700)","(0.6686,0.2413)","(0.5710,0.5516)","(0.4393,0.5409)","(0.6106,0.6986)","(0.3985,0.7004)","(0.6147,0.8758)","(0.2529,0.8050)"
8,"(0.5796,0.2639)","(0.6008,0.2520)","(0.5505,0.2508)","(0.0000,0.0000)","(0.4913,0.2583)","(0.5812,0.3465)","(0.4470,0.3123)","(0.5935,0.4398)","(0.5657,0.3028)","(0.6314,0.3560)","(0.6877,0.2395)","(0.5695,0.5528)","(0.4431,0.5417)","(0.6144,0.6976)","(0.3929,0.7021)","(0.6227,0.8745)","(0.2494,0.8012)"
9,"(0.5860,0.2634)","(0.6045,0.2520)","(0.5582,0.2512)","(0.0000,0.0000)","(0.4998,0.2600)","(0.5918,0.3454)","(0.4488,0.3118)","(0.6022,0.4403)","(0.5405,0.3065)","(0.6391,0.3558)","(0.6673,0.2450)","(0.5669,0.5500)","(0.4360,0.5387)","(0.6113,0.6959)","(0.3935,0.7016)","(0.6215,0.8743)","(0.2444,0.7985)"
