frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.2623,0.3008)","(0.2882,0.2908)","(0.2390,0.2866)","(0.3141,0.3025)","(0.1884,0.2943)","(0.3627,0.3691)","(0.1192,0.3723)","(0.5183,0.4272)","(0.0946,0.4583)","(0.5301,0.3593)","(0.1829,0.3796)","(0.3514,0.5669)","(0.1691,0.5691)","(0.4384,0.6989)","(0.0871,0.7045)","(0.5037,0.8553)","(0.0873,0.8396)"
1,"(0.2625,0.3024)","(0.2884,0.2926)","(0.2406,0.2880)","(0.3138,0.3046)","(0.1910,0.2954)","(0.3595,0.3714)","(0.1180,0.3744)","(0.5162,0.4320)","(0.1038,0.4632)","(0.5295,0.3596)","(0.1878,0.3859)","(0.3566,0.5684)","(0.1750,0.5710)","(0.4414,0.7000)","(0.0881,0.7066)","(0.5047,0.8556)","(0.0893,0.8394)"
2,"(0.2638,0.3027)","(0.2892,0.2927)","(0.2408,0.2886)","(0.3143,0.3044)","(0.1901,0.2963)","(0.3579,0.3722)","(0.1194,0.3764)","(0.5069,0.4368)","(0.1122,0.4664)","(0.5185,0.3737)","(0.1868,0.3921)","(0.3586,0.5691)","(0.1792,0.5721)","(0.4414,0.6992)","(0.1004,0.7052)","(0.5035,0.8557)","(0.0868,0.8387)"
3,"(0.2639,0.3022)","(0.2895,0.2922)","(0.2407,0.2880)","(0.3149,0.3039)","(0.1899,0.2958)","(0.3579,0.3720)","(0.1236,0.3752)","(0.5070,0.4402)","(0.1164,0.4678)","(0.5217,0.3692)","(0.1852,0.3965)","(0.3628,0.5685)","(0.1864,0.5713)","(0.4418,0.6984)","(0.1063,0.7059)","(0.5031,0.8563)","(0.0886,0.8407)"
4,"(0.2639,0.3012)","(0.2903,0.2913)","(0.2413,0.2866)","(0.3163,0.3026)","(0.1908,0.2933)","(0.3578,0.3692)","(0.1242,0.3736)","(0.5058,0.4322)","(0.1138,0.4654)","(0.5268,0.3656)","(0.1860,0.3928)","(0.3652,0.5662)","(0.1898,0.5697)","(0.4435,0.6980)","(0.1158,0.7055)","(0.5049,0.8550)","(0.0864,0.8387)"
5,"(0.2641,0.2993)","(0.2910,0.2890)","(0.2405,0.2845)","(0.3165,0.2994)","(0.1920,0.2906)","(0.3647,0.3630)","(0.1320,0.3688)","(0.5125,0.4230)","(0.1044,0.4655)","(0.5289,0.3569)","(0.1780,0.3891)","(0.3720,0.5613)","(0.1944,0.5649)","(0.4462,0.6962)","(0.1170,0.6994)","(0.5064,0.8548)","(0.0765,0.8421)"
6,"(0.2649,0.2989)","(0.2915,0.2890)","(0.2429,0.2840)","(0.3173,0.2997)","(0.1929,0.2899)","(0.3600,0.3648)","(0.1262,0.3703)","(0.5123,0.4247)","(0.1110,0.4626)","(0.5312,0.3598)","(0.1847,0.3892)","(0.3710,0.5640)","(0.1962,0.5680)","(0.4458,0.6940)","(0.1235,0.7023)","(0.5102,0.8533)","(0.0847,0.8401)"
7,"(0.2684,0.2974)","(0.2953,0.2873)","(0.2449,0.2827)","(0.3205,0.2983)","(0.1963,0.2894)","(0.3688,0.3610)","(0.1366,0.3673)","(0.5289,0.4137)","(0.1036,0.4626)","(0.5577,0.3335)","(0.1772,0.3858)","(0.3760,0.5607)","(0.1983,0.5647)","(0.4559,0.6941)","(0.1193,0.6987)","(0.5213,0.8507)","(0.0769,0.8425)"
8,"(0.2769,0.2975)","(0.3027,0.2872)","(0.2526,0.2830)","(0.3262,0.2973)","(0.2022,0.2893)","(0.3740,0.3591)","(0.1414,0.3676)","(0.5347,0.4048)","(0.1079,0.4617)","(0.5708,0.3221)","(0.1779,0.3876)","(0.3848,0.5582)","(0.2040,0.5628)","(0.4747,0.6943)","(0.1186,0.6979)","(0.5473,0.8490)","(0.0773,0.8401)"
9,"(0.2871,0.2979)","(0.3148,0.2884)","(0.2640,0.2836)","(0.0000,0.0000)","(0.2095,0.2919)","(0.3831,0.3667)","(0.1468,0.3744)","(0.5324,0.4060)","(0.1235,0.4637)","(0.5769,0.3212)","(0.1884,0.3860)","(0.3911,0.5638)","(0.2099,0.5680)","(0.4829,0.6887)","(0.1291,0.6944)","(0.5642,0.8464)","(0.0866,0.8357)"
