frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.5250,0.2530)","(0.5225,0.2342)","(0.0000,0.0000)","(0.5788,0.2150)","(0.0000,0.0000)","(0.6585,0.2909)","(0.7359,0.2877)","(0.5889,0.4155)","(0.6575,0.4106)","(0.4479,0.3463)","(0.4690,0.3401)","(0.6856,0.5668)","(0.7670,0.5588)","(0.5174,0.7644)","(0.7704,0.7553)","(0.5384,0.9569)","(0.9088,0.9409)"
1,"(0.5249,0.2531)","(0.5224,0.2343)","(0.0000,0.0000)","(0.5787,0.2149)","(0.0000,0.0000)","(0.6580,0.2907)","(0.7364,0.2874)","(0.5883,0.4152)","(0.6583,0.4104)","(0.4474,0.3460)","(0.4692,0.3399)","(0.6862,0.5664)","(0.7669,0.5584)","(0.5196,0.7644)","(0.7674,0.7551)","(0.5435,0.9568)","(0.9019,0.9418)"
2,"(0.5018,0.2467)","(0.5057,0.2268)","(0.0000,0.0000)","(0.5869,0.2057)","(0.0000,0.0000)","(0.6639,0.2807)","(0.7183,0.2811)","(0.6081,0.4045)","(0.6254,0.3979)","(0.4918,0.3458)","(0.4780,0.3326)","(0.6894,0.5580)","(0.7721,0.5507)","(0.5014,0.7625)","(0.7941,0.7482)","(0.4743,0.9672)","(0.9775,0.9187)"
3,"(0.5034,0.2431)","(0.5040,0.2224)","(0.0000,0.0000)","(0.5691,0.1963)","(0.0000,0.0000)","(0.6849,0.2660)","(0.6560,0.2704)","(0.6386,0.3908)","(0.5047,0.3833)","(0.4804,0.3170)","(0.4434,0.3145)","(0.7032,0.5477)","(0.7418,0.5439)","(0.5022,0.7527)","(0.8216,0.7427)","(0.4682,0.9698)","(0.9772,0.9151)"
4,"(0.5082,0.2305)","(0.5147,0.2131)","(0.0000,0.0000)","(0.5742,0.1942)","(0.0000,0.0000)","(0.7168,0.2563)","(0.6452,0.2619)","(0.5946,0.3760)","(0.4932,0.3718)","(0.4776,0.2841)","(0.3127,0.3298)","(0.7147,0.5411)","(0.7249,0.5353)","(0.5138,0.7411)","(0.8169,0.7449)","(0.4758,0.9581)","(0.9307,0.9314)"
5,"(0.5030,0.2558)","(0.5046,0.2354)","(0.0000,0.0000)","(0.5658,0.2055)","(0.0000,0.0000)","(0.6787,0.2651)","(0.6715,0.2697)","(0.6085,0.3604)","(0.4769,0.3576)","(0.4348,0.2769)","(0.2989,0.3089)","(0.7202,0.5447)","(0.7797,0.5359)","(0.5271,0.7507)","(0.8395,0.7355)","(0.4862,0.9752)","(0.9709,0.9144)"
6,"(0.4813,0.2576)","(0.4807,0.2380)","(0.0000,0.0000)","(0.5447,0.2061)","(0.0000,0.0000)","(0.6731,0.2626)","(0.6561,0.2658)","(0.5914,0.3524)","(0.4526,0.3480)","(0.4160,0.2684)","(0.2991,0.2985)","(0.7215,0.5430)","(0.7737,0.5343)","(0.5340,0.7503)","(0.8426,0.7361)","(0.4909,0.9763)","(0.9672,0.9161)"
7,"(0.4954,0.2613)","(0.4922,0.2406)","(0.0000,0.0000)","(0.5489,0.2059)","(0.0000,0.0000)","(0.6687,0.2617)","(0.6738,0.2713)","(0.5732,0.3531)","(0.4745,0.3630)","(0.3972,0.2626)","(0.3190,0.2920)","(0.7180,0.5510)","(0.7853,0.5441)","(0.5331,0.7561)","(0.8573,0.7420)","(0.4864,0.9773)","(0.9781,0.9141)"
8,"(0.4984,0.2610)","(0.4928,0.2402)","(0.0000,0.0000)","(0.5451,0.2060)","(0.0000,0.0000)","(0.6899,0.2621)","(0.6876,0.2702)","(0.5311,0.3673)","(0.4691,0.3630)","(0.4203,0.2701)","(0.3392,0.3054)","(0.7109,0.5446)","(0.7682,0.5388)","(0.5387,0.7475)","(0.8516,0.7434)","(0.4867,0.9590)","(0.9383,0.9229)"
9,"(0.4798,0.2464)","(0.4774,0.2270)","(0.0000,0.0000)","(0.5417,0.1985)","(0.0000,0.0000)","(0.6465,0.2663)","(0.6633,0.2615)","(0.5563,0.3916)","(0.4765,0.3697)","(0.4457,0.3058)","(0.4088,0.2973)","(0.7168,0.5447)","(0.7817,0.5369)","(0.5391,0.7554)","(0.8371,0.7331)","(0.4780,0.9705)","(0.9810,0.9017)"
