frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.4108,0.2483)","(0.2212,0.3245)","(0.3624,0.3283)","(0.2808,0.4408)","(0.3873,0.4490)","(0.0000,0.0000)","(0.4972,0.3760)","(0.2458,0.5598)","(0.3306,0.5699)","(0.3153,0.7344)","(0.3414,0.7511)","(0.2671,0.9013)","(0.1833,0.9534)"
1,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.4143,0.2449)","(0.2141,0.3230)","(0.4025,0.3316)","(0.2866,0.4215)","(0.4443,0.4407)","(0.0000,0.0000)","(0.5298,0.3736)","(0.2312,0.5509)","(0.3471,0.5621)","(0.2853,0.7219)","(0.3186,0.7471)","(0.2717,0.8844)","(0.1978,0.9470)"
2,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2607,0.2424)","(0.3978,0.2453)","(0.1779,0.3215)","(0.4371,0.3189)","(0.1513,0.4021)","(0.5798,0.3723)","(0.0000,0.0000)","(0.5796,0.3684)","(0.2126,0.5467)","(0.3657,0.5478)","(0.2667,0.7244)","(0.3273,0.7378)","(0.2404,0.9005)","(0.2494,0.9224)"
3,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.3889,0.2421)","(0.1745,0.3215)","(0.4396,0.3174)","(0.1377,0.4104)","(0.6169,0.3960)","(0.0000,0.0000)","(0.6146,0.3706)","(0.2147,0.5438)","(0.3563,0.5494)","(0.2773,0.7168)","(0.2998,0.7443)","(0.2905,0.8761)","(0.2238,0.9464)"
4,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2646,0.2428)","(0.3909,0.2448)","(0.1772,0.3138)","(0.4448,0.3027)","(0.1187,0.4058)","(0.6160,0.3538)","(0.0000,0.0000)","(0.6158,0.3372)","(0.2055,0.5339)","(0.3583,0.5359)","(0.2621,0.7145)","(0.3285,0.7344)","(0.2393,0.8958)","(0.2787,0.9230)"
5,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2661,0.2410)","(0.3869,0.2431)","(0.1765,0.3132)","(0.4417,0.2998)","(0.1188,0.4053)","(0.6033,0.3419)","(0.0000,0.0000)","(0.6466,0.3209)","(0.2068,0.5325)","(0.3600,0.5343)","(0.2698,0.7097)","(0.3340,0.7301)","(0.2341,0.8924)","(0.2794,0.9250)"
6,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2551,0.2441)","(0.3778,0.2450)","(0.1727,0.3147)","(0.4302,0.2984)","(0.1157,0.4101)","(0.6011,0.3421)","(0.0000,0.0000)","(0.6444,0.3222)","(0.2208,0.5327)","(0.3678,0.5344)","(0.2733,0.7062)","(0.3361,0.7297)","(0.2423,0.8843)","(0.2876,0.9215)"
7,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2434,0.2448)","(0.3699,0.2444)","(0.1622,0.3167)","(0.4240,0.2967)","(0.1241,0.4184)","(0.6182,0.3450)","(0.0000,0.0000)","(0.6063,0.3198)","(0.2220,0.5325)","(0.3707,0.5334)","(0.2790,0.7068)","(0.3384,0.7303)","(0.2458,0.8875)","(0.3010,0.9250)"
8,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.2334,0.2472)","(0.3633,0.2444)","(0.1604,0.3195)","(0.4093,0.2968)","(0.1412,0.4277)","(0.5752,0.3486)","(0.0000,0.0000)","(0.5849,0.3340)","(0.2260,0.5358)","(0.3748,0.5356)","(0.2773,0.7084)","(0.3596,0.7269)","(0.2477,0.8927)","(0.3080,0.9233)"
9,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.3541,0.2405)","(0.1655,0.3223)","(0.4000,0.3006)","(0.1511,0.4303)","(0.5512,0.3656)","(0.0000,0.0000)","(0.5853,0.3436)","(0.2421,0.5426)","(0.3867,0.5395)","(0.2885,0.7116)","(0.3809,0.7220)","(0.2474,0.8915)","(0.3083,0.9134)"
