frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.3698,0.2918)","(0.0000,0.0000)","(0.3538,0.2778)","(0.0000,0.0000)","(0.2751,0.2786)","(0.3339,0.3597)","(0.1601,0.3557)","(0.4609,0.4468)","(0.2498,0.4533)","(0.5533,0.3863)","(0.3501,0.3590)","(0.3443,0.5622)","(0.1907,0.5743)","(0.4816,0.6794)","(0.1861,0.7270)","(0.4408,0.8249)","(0.0490,0.8838)"
1,"(0.3704,0.2961)","(0.0000,0.0000)","(0.3577,0.2805)","(0.0000,0.0000)","(0.2730,0.2784)","(0.3368,0.3607)","(0.1535,0.3570)","(0.4740,0.4472)","(0.2431,0.4574)","(0.5732,0.3845)","(0.3533,0.3602)","(0.3439,0.5602)","(0.1893,0.5734)","(0.4891,0.6696)","(0.1933,0.7281)","(0.4440,0.8155)","(0.0476,0.8788)"
2,"(0.3756,0.2963)","(0.0000,0.0000)","(0.3636,0.2811)","(0.0000,0.0000)","(0.2818,0.2791)","(0.3414,0.3592)","(0.1474,0.3575)","(0.4811,0.4460)","(0.2464,0.4539)","(0.5844,0.3829)","(0.3546,0.3649)","(0.3639,0.5591)","(0.2018,0.5729)","(0.4985,0.6751)","(0.1897,0.7300)","(0.4636,0.8198)","(0.0605,0.8717)"
3,"(0.3859,0.2938)","(0.0000,0.0000)","(0.3745,0.2784)","(0.0000,0.0000)","(0.2946,0.2774)","(0.3546,0.3578)","(0.1623,0.3579)","(0.4951,0.4385)","(0.2530,0.4536)","(0.6016,0.3803)","(0.3619,0.3646)","(0.3754,0.5589)","(0.2134,0.5723)","(0.5026,0.6756)","(0.1954,0.7282)","(0.5007,0.8233)","(0.0601,0.8704)"
4,"(0.3985,0.2927)","(0.0000,0.0000)","(0.3861,0.2781)","(0.0000,0.0000)","(0.3080,0.2792)","(0.3661,0.3559)","(0.1805,0.3589)","(0.5234,0.4274)","(0.2634,0.4525)","(0.6394,0.3652)","(0.3673,0.3644)","(0.3879,0.5580)","(0.2291,0.5711)","(0.5110,0.6760)","(0.1957,0.7258)","(0.5411,0.8240)","(0.0618,0.8691)"
5,"(0.4138,0.2918)","(0.0000,0.0000)","(0.4008,0.2774)","(0.0000,0.0000)","(0.3255,0.2821)","(0.3960,0.3588)","(0.2116,0.3631)","(0.5616,0.4165)","(0.2689,0.4575)","(0.6740,0.3556)","(0.3655,0.3694)","(0.4005,0.5566)","(0.2442,0.5684)","(0.5114,0.6720)","(0.2175,0.7224)","(0.5415,0.8156)","(0.0510,0.8759)"
6,"(0.4304,0.2963)","(0.0000,0.0000)","(0.4159,0.2826)","(0.0000,0.0000)","(0.3427,0.2872)","(0.4200,0.3577)","(0.2379,0.3672)","(0.5947,0.4040)","(0.2957,0.4613)","(0.7085,0.3478)","(0.3863,0.3760)","(0.4122,0.5536)","(0.2591,0.5657)","(0.5246,0.6720)","(0.2401,0.7206)","(0.5466,0.8192)","(0.0574,0.8749)"
7,"(0.4520,0.3047)","(0.0000,0.0000)","(0.4342,0.2927)","(0.0000,0.0000)","(0.3659,0.2990)","(0.4357,0.3570)","(0.2748,0.3773)","(0.6063,0.3984)","(0.3179,0.4664)","(0.7407,0.3450)","(0.4142,0.3854)","(0.4296,0.5585)","(0.2931,0.5733)","(0.5410,0.6753)","(0.2734,0.7217)","(0.5484,0.8184)","(0.0705,0.8669)"
8,"(0.4752,0.3131)","(0.0000,0.0000)","(0.4577,0.3006)","(0.0000,0.0000)","(0.3898,0.3056)","(0.4435,0.3587)","(0.3062,0.3849)","(0.6161,0.3991)","(0.3503,0.4764)","(0.7466,0.3429)","(0.4377,0.3952)","(0.4327,0.5615)","(0.3129,0.5800)","(0.5540,0.6706)","(0.3257,0.7296)","(0.5483,0.8130)","(0.0887,0.8647)"
9,"(0.4992,0.3180)","(0.0000,0.0000)","(0.4876,0.3051)","(0.0000,0.0000)","(0.4211,0.3094)","(0.4260,0.3630)","(0.3561,0.3872)","(0.5921,0.4061)","(0.3748,0.4868)","(0.6947,0.3457)","(0.4710,0.4028)","(0.4315,0.5664)","(0.3562,0.5837)","(0.5491,0.6689)","(0.3503,0.7284)","(0.5425,0.8113)","(0.0907,0.8544)"
