frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4584,0.2783)","(0.4843,0.2655)","(0.4346,0.2659)","(0.5291,0.2687)","(0.0000,0.0000)","(0.5896,0.3329)","(0.3970,0.3323)","(0.7217,0.3924)","(0.2983,0.3771)","(0.6535,0.3205)","(0.3513,0.2881)","(0.5727,0.5324)","(0.4387,0.5286)","(0.6115,0.6842)","(0.4001,0.6632)","(0.6766,0.8406)","(0.4400,0.7814)"
1,"(0.4584,0.2783)","(0.4843,0.2655)","(0.4345,0.2659)","(0.5289,0.2688)","(0.0000,0.0000)","(0.5890,0.3329)","(0.3970,0.3324)","(0.7213,0.3923)","(0.2985,0.3770)","(0.6539,0.3207)","(0.3511,0.2880)","(0.5717,0.5324)","(0.4381,0.5286)","(0.6115,0.6843)","(0.4001,0.6631)","(0.6764,0.8408)","(0.4395,0.7814)"
2,"(0.4588,0.2780)","(0.4857,0.2662)","(0.4380,0.2661)","(0.5317,0.2730)","(0.0000,0.0000)","(0.5957,0.3355)","(0.3955,0.3386)","(0.7250,0.3724)","(0.2967,0.3729)","(0.6551,0.2865)","(0.3432,0.2812)","(0.5828,0.5350)","(0.4420,0.5303)","(0.6043,0.6814)","(0.3839,0.6544)","(0.6800,0.8467)","(0.4336,0.7641)"
3,"(0.4610,0.2822)","(0.4884,0.2708)","(0.4395,0.2701)","(0.5347,0.2751)","(0.0000,0.0000)","(0.5964,0.3276)","(0.4046,0.3401)","(0.6977,0.3180)","(0.2949,0.3605)","(0.6510,0.2465)","(0.3409,0.2748)","(0.5849,0.5292)","(0.4458,0.5270)","(0.6130,0.6840)","(0.3701,0.6518)","(0.6791,0.8433)","(0.4316,0.7749)"
4,"(0.4608,0.2846)","(0.4896,0.2729)","(0.4384,0.2719)","(0.5372,0.2761)","(0.0000,0.0000)","(0.5816,0.3250)","(0.4158,0.3438)","(0.6343,0.2924)","(0.2979,0.3626)","(0.6204,0.2216)","(0.3434,0.2742)","(0.5740,0.5311)","(0.4536,0.5326)","(0.6156,0.6840)","(0.3591,0.6606)","(0.6828,0.8312)","(0.4214,0.7783)"
5,"(0.4542,0.2857)","(0.4827,0.2748)","(0.4324,0.2735)","(0.5257,0.2794)","(0.0000,0.0000)","(0.5754,0.3250)","(0.4090,0.3419)","(0.6809,0.3127)","(0.2946,0.3679)","(0.6407,0.2561)","(0.3360,0.2812)","(0.5833,0.5211)","(0.4669,0.5226)","(0.6133,0.6792)","(0.3705,0.6583)","(0.6842,0.8319)","(0.4286,0.7783)"
6,"(0.4475,0.2875)","(0.4749,0.2761)","(0.4249,0.2759)","(0.5197,0.2805)","(0.0000,0.0000)","(0.5768,0.3290)","(0.4037,0.3425)","(0.7038,0.3438)","(0.2854,0.3779)","(0.6340,0.2794)","(0.3252,0.2894)","(0.5783,0.5248)","(0.4600,0.5261)","(0.6159,0.6795)","(0.3800,0.6637)","(0.6854,0.8319)","(0.4312,0.7823)"
7,"(0.4430,0.2904)","(0.4689,0.2782)","(0.4207,0.2780)","(0.5105,0.2805)","(0.0000,0.0000)","(0.5691,0.3368)","(0.3964,0.3427)","(0.7019,0.3852)","(0.2842,0.3867)","(0.6351,0.3085)","(0.3217,0.2972)","(0.5712,0.5324)","(0.4555,0.5330)","(0.6088,0.6802)","(0.3930,0.6719)","(0.6805,0.8310)","(0.4491,0.7873)"
8,"(0.4381,0.2932)","(0.4644,0.2812)","(0.4154,0.2813)","(0.5058,0.2853)","(0.0000,0.0000)","(0.5638,0.3463)","(0.3896,0.3481)","(0.6964,0.4112)","(0.2889,0.3923)","(0.6458,0.3532)","(0.3203,0.3043)","(0.5662,0.5342)","(0.4504,0.5343)","(0.6069,0.6823)","(0.4014,0.6745)","(0.6766,0.8287)","(0.4579,0.7886)"
9,"(0.4381,0.2931)","(0.4643,0.2812)","(0.4154,0.2813)","(0.5058,0.2853)","(0.0000,0.0000)","(0.5639,0.3463)","(0.3894,0.3480)","(0.6958,0.4111)","(0.2896,0.3922)","(0.6451,0.3530)","(0.3216,0.3041)","(0.5655,0.5338)","(0.4496,0.5339)","(0.6077,0.6815)","(0.4017,0.6743)","(0.6749,0.8285)","(0.4606,0.7887)"
