frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4817,0.3224)","(0.0000,0.0000)","(0.4776,0.3069)","(0.0000,0.0000)","(0.4192,0.2964)","(0.4025,0.3641)","(0.2669,0.3501)","(0.4251,0.4634)","(0.2953,0.4422)","(0.5222,0.4420)","(0.4088,0.3728)","(0.3812,0.5433)","(0.2493,0.5452)","(0.4627,0.6695)","(0.2040,0.6770)","(0.4775,0.8105)","(0.0897,0.8047)"
1,"(0.4817,0.3248)","(0.0000,0.0000)","(0.4738,0.3094)","(0.0000,0.0000)","(0.4042,0.2974)","(0.4127,0.3692)","(0.2680,0.3503)","(0.3913,0.4728)","(0.2893,0.4430)","(0.4941,0.4585)","(0.4111,0.3754)","(0.3802,0.5516)","(0.2463,0.5504)","(0.4770,0.6691)","(0.1923,0.6772)","(0.4847,0.8103)","(0.0891,0.8045)"
2,"(0.4860,0.3182)","(0.0000,0.0000)","(0.4778,0.3022)","(0.0000,0.0000)","(0.4154,0.2921)","(0.4317,0.3686)","(0.2720,0.3457)","(0.3870,0.4752)","(0.2763,0.4344)","(0.4779,0.4518)","(0.3865,0.3660)","(0.3949,0.5492)","(0.2450,0.5475)","(0.4749,0.6713)","(0.1894,0.6767)","(0.4804,0.8088)","(0.0877,0.8059)"
3,"(0.4824,0.3145)","(0.5008,0.3074)","(0.4736,0.2976)","(0.0000,0.0000)","(0.4088,0.2890)","(0.4441,0.3692)","(0.2692,0.3422)","(0.4584,0.4652)","(0.2530,0.4254)","(0.5140,0.4295)","(0.3685,0.3607)","(0.3920,0.5435)","(0.2393,0.5383)","(0.4645,0.6680)","(0.1846,0.6678)","(0.4795,0.8082)","(0.0926,0.8029)"
4,"(0.4788,0.3059)","(0.4977,0.2972)","(0.4641,0.2905)","(0.0000,0.0000)","(0.3979,0.2847)","(0.4632,0.3620)","(0.2736,0.3403)","(0.5007,0.4443)","(0.2207,0.4164)","(0.5493,0.4093)","(0.3405,0.3554)","(0.3885,0.5441)","(0.2378,0.5376)","(0.4500,0.6671)","(0.1746,0.6641)","(0.4847,0.8073)","(0.0981,0.8010)"
5,"(0.4771,0.3004)","(0.4973,0.2918)","(0.4635,0.2840)","(0.0000,0.0000)","(0.4017,0.2800)","(0.4858,0.3632)","(0.2705,0.3374)","(0.5729,0.4357)","(0.1915,0.4023)","(0.5998,0.4027)","(0.3267,0.3467)","(0.3938,0.5430)","(0.2316,0.5341)","(0.4361,0.6692)","(0.1672,0.6617)","(0.4809,0.8081)","(0.1008,0.8007)"
6,"(0.4718,0.2978)","(0.4920,0.2896)","(0.4577,0.2823)","(0.0000,0.0000)","(0.4006,0.2794)","(0.4980,0.3572)","(0.2715,0.3361)","(0.6261,0.4116)","(0.1846,0.3968)","(0.6756,0.3566)","(0.3064,0.3355)","(0.3968,0.5398)","(0.2292,0.5312)","(0.4398,0.6670)","(0.1553,0.6606)","(0.4954,0.8075)","(0.0955,0.7997)"
7,"(0.4563,0.2942)","(0.4815,0.2882)","(0.4446,0.2794)","(0.0000,0.0000)","(0.3979,0.2795)","(0.4994,0.3518)","(0.2807,0.3360)","(0.6403,0.3677)","(0.1865,0.3922)","(0.7781,0.3138)","(0.2825,0.3473)","(0.3917,0.5374)","(0.2302,0.5283)","(0.4419,0.6669)","(0.1418,0.6572)","(0.5000,0.8110)","(0.0818,0.7954)"
8,"(0.4516,0.2940)","(0.4747,0.2882)","(0.4402,0.2799)","(0.0000,0.0000)","(0.3923,0.2810)","(0.4870,0.3496)","(0.2748,0.3375)","(0.6185,0.3632)","(0.1892,0.3957)","(0.7702,0.3109)","(0.2913,0.3426)","(0.3911,0.5356)","(0.2318,0.5282)","(0.4399,0.6663)","(0.1400,0.6571)","(0.4979,0.8084)","(0.0805,0.7909)"
9,"(0.4516,0.2938)","(0.4748,0.2882)","(0.4405,0.2797)","(0.0000,0.0000)","(0.3928,0.2808)","(0.4866,0.3497)","(0.2747,0.3372)","(0.6189,0.3629)","(0.1890,0.3954)","(0.7713,0.3113)","(0.2852,0.3459)","(0.3895,0.5358)","(0.2304,0.5283)","(0.4400,0.6674)","(0.1386,0.6585)","(0.4976,0.8096)","(0.0809,0.7917)"
10,"(0.4459,0.2921)","(0.4684,0.2856)","(0.4338,0.2778)","(0.0000,0.0000)","(0.3843,0.2793)","(0.4797,0.3537)","(0.2669,0.3393)","(0.6068,0.3893)","(0.1914,0.4058)","(0.7257,0.3339)","(0.2868,0.3448)","(0.3891,0.5356)","(0.2290,0.5276)","(0.4382,0.6665)","(0.1402,0.6571)","(0.4951,0.8097)","(0.0827,0.7893)"
11,"(0.4282,0.2937)","(0.4523,0.2865)","(0.4158,0.2782)","(0.0000,0.0000)","(0.3649,0.2773)","(0.4682,0.3578)","(0.2505,0.3401)","(0.5933,0.4141)","(0.1901,0.4156)","(0.6575,0.3559)","(0.2943,0.3522)","(0.3864,0.5402)","(0.2247,0.5315)","(0.4377,0.6674)","(0.1464,0.6569)","(0.4916,0.8095)","(0.0924,0.7861)"
12,"(0.4332,0.3017)","(0.4482,0.2924)","(0.4222,0.2866)","(0.0000,0.0000)","(0.3665,0.2818)","(0.4496,0.3602)","(0.2346,0.3441)","(0.5550,0.4358)","(0.1808,0.4233)","(0.5989,0.3865)","(0.2981,0.3532)","(0.3856,0.5449)","(0.2238,0.5397)","(0.4347,0.6700)","(0.1527,0.6640)","(0.4791,0.8076)","(0.0986,0.7956)"
13,"(0.3962,0.2981)","(0.4201,0.2912)","(0.3838,0.2829)","(0.0000,0.0000)","(0.3390,0.2839)","(0.4366,0.3665)","(0.2238,0.3461)","(0.5242,0.4546)","(0.1856,0.4278)","(0.5398,0.4157)","(0.3052,0.3576)","(0.3792,0.5445)","(0.2140,0.5388)","(0.4388,0.6693)","(0.1488,0.6646)","(0.4761,0.8063)","(0.0981,0.7962)"
