frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4571,0.2973)","(0.4807,0.2847)","(0.4317,0.2859)","(0.5213,0.2872)","(0.4018,0.2907)","(0.5754,0.3465)","(0.3870,0.3474)","(0.6793,0.4129)","(0.3161,0.3983)","(0.6212,0.3363)","(0.3603,0.3071)","(0.5621,0.5366)","(0.4334,0.5357)","(0.6154,0.6832)","(0.4136,0.6735)","(0.6741,0.8428)","(0.4651,0.7894)"
1,"(0.4571,0.2973)","(0.4806,0.2847)","(0.4317,0.2859)","(0.5211,0.2872)","(0.4018,0.2908)","(0.5754,0.3464)","(0.3872,0.3475)","(0.6793,0.4129)","(0.3162,0.3983)","(0.6212,0.3364)","(0.3605,0.3071)","(0.5622,0.5364)","(0.4336,0.5356)","(0.6154,0.6830)","(0.4135,0.6734)","(0.6742,0.8427)","(0.4649,0.7893)"
2,"(0.4567,0.2980)","(0.4811,0.2859)","(0.4337,0.2866)","(0.5234,0.2899)","(0.4074,0.2922)","(0.5811,0.3516)","(0.3920,0.3504)","(0.6850,0.4195)","(0.3206,0.3977)","(0.6254,0.3491)","(0.3647,0.3086)","(0.5677,0.5395)","(0.4388,0.5377)","(0.6162,0.6846)","(0.4162,0.6741)","(0.6719,0.8409)","(0.4641,0.7878)"
3,"(0.4570,0.2956)","(0.4850,0.2847)","(0.4355,0.2836)","(0.5278,0.2924)","(0.4077,0.2905)","(0.5816,0.3564)","(0.3962,0.3521)","(0.6896,0.4284)","(0.3314,0.4012)","(0.6150,0.3528)","(0.3697,0.3128)","(0.5761,0.5411)","(0.4502,0.5385)","(0.6177,0.6839)","(0.4273,0.6748)","(0.6741,0.8427)","(0.4662,0.7887)"
4,"(0.4564,0.2906)","(0.4836,0.2794)","(0.4368,0.2796)","(0.5322,0.2883)","(0.0000,0.0000)","(0.5904,0.3541)","(0.4044,0.3516)","(0.6922,0.4346)","(0.3420,0.4073)","(0.6194,0.3661)","(0.3707,0.3203)","(0.5809,0.5422)","(0.4536,0.5384)","(0.6180,0.6860)","(0.4362,0.6698)","(0.6756,0.8505)","(0.4628,0.7768)"
5,"(0.4588,0.2856)","(0.4854,0.2745)","(0.4401,0.2736)","(0.5317,0.2808)","(0.0000,0.0000)","(0.5955,0.3428)","(0.4053,0.3423)","(0.7077,0.4281)","(0.3463,0.4113)","(0.6262,0.3783)","(0.3766,0.3285)","(0.5863,0.5395)","(0.4577,0.5361)","(0.6187,0.6863)","(0.4476,0.6693)","(0.6766,0.8496)","(0.4644,0.7771)"
6,"(0.4731,0.2829)","(0.4980,0.2698)","(0.4501,0.2719)","(0.5472,0.2727)","(0.0000,0.0000)","(0.6151,0.3374)","(0.4310,0.3453)","(0.7252,0.4044)","(0.3375,0.4063)","(0.6409,0.3495)","(0.3701,0.3225)","(0.5988,0.5346)","(0.4722,0.5323)","(0.6237,0.6865)","(0.4491,0.6627)","(0.6799,0.8462)","(0.4623,0.7836)"
7,"(0.4609,0.2821)","(0.4827,0.2711)","(0.0000,0.0000)","(0.5274,0.2742)","(0.0000,0.0000)","(0.6053,0.3300)","(0.4351,0.3450)","(0.7151,0.3690)","(0.3389,0.4015)","(0.6407,0.3132)","(0.3729,0.3184)","(0.6106,0.5289)","(0.4883,0.5285)","(0.6258,0.6847)","(0.4418,0.6591)","(0.6847,0.8473)","(0.4599,0.7855)"
8,"(0.4720,0.2804)","(0.4944,0.2682)","(0.4531,0.2693)","(0.5426,0.2699)","(0.0000,0.0000)","(0.6019,0.3212)","(0.4353,0.3418)","(0.6368,0.3382)","(0.3552,0.3991)","(0.6148,0.2810)","(0.3749,0.3200)","(0.6124,0.5266)","(0.4906,0.5268)","(0.6323,0.6854)","(0.4349,0.6529)","(0.6802,0.8490)","(0.4622,0.7683)"
9,"(0.4748,0.2799)","(0.4992,0.2680)","(0.4554,0.2689)","(0.5496,0.2713)","(0.0000,0.0000)","(0.6020,0.3222)","(0.4384,0.3452)","(0.6313,0.3253)","(0.3599,0.3985)","(0.6283,0.2669)","(0.3730,0.3198)","(0.6126,0.5282)","(0.4921,0.5288)","(0.6366,0.6854)","(0.4320,0.6514)","(0.6829,0.8492)","(0.4629,0.7651)"
10,"(0.4728,0.2781)","(0.4966,0.2660)","(0.4531,0.2672)","(0.5454,0.2695)","(0.0000,0.0000)","(0.6089,0.3232)","(0.4366,0.3424)","(0.6959,0.3454)","(0.3604,0.4035)","(0.6524,0.2820)","(0.3752,0.3230)","(0.6089,0.5276)","(0.4873,0.5258)","(0.6367,0.6865)","(0.4344,0.6503)","(0.6811,0.8521)","(0.4679,0.7651)"
11,"(0.4791,0.2801)","(0.5047,0.2672)","(0.4566,0.2690)","(0.5519,0.2702)","(0.0000,0.0000)","(0.6108,0.3287)","(0.4460,0.3434)","(0.7174,0.3696)","(0.3557,0.4041)","(0.6672,0.3095)","(0.3705,0.3184)","(0.6080,0.5244)","(0.4914,0.5230)","(0.6305,0.6837)","(0.4449,0.6535)","(0.6803,0.8454)","(0.4763,0.7735)"
