frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.4919,0.2760)","(0.5195,0.2635)","(0.4664,0.2613)","(0.5551,0.2675)","(0.4249,0.2628)","(0.5921,0.3422)","(0.3886,0.3306)","(0.6650,0.4494)","(0.3130,0.4085)","(0.6015,0.3906)","(0.3801,0.3215)","(0.5577,0.5362)","(0.4162,0.5318)","(0.5992,0.6835)","(0.3883,0.6743)","(0.6533,0.8395)","(0.4049,0.7989)"
1,"(0.4919,0.2761)","(0.5195,0.2636)","(0.4664,0.2614)","(0.5550,0.2676)","(0.4250,0.2629)","(0.5921,0.3421)","(0.3889,0.3305)","(0.6651,0.4493)","(0.3127,0.4087)","(0.6012,0.3901)","(0.3800,0.3217)","(0.5572,0.5357)","(0.4160,0.5313)","(0.5987,0.6832)","(0.3881,0.6742)","(0.6532,0.8391)","(0.4055,0.7991)"
2,"(0.4862,0.2729)","(0.5138,0.2606)","(0.4621,0.2581)","(0.5500,0.2643)","(0.4229,0.2591)","(0.5913,0.3390)","(0.3871,0.3268)","(0.6644,0.4471)","(0.3134,0.4056)","(0.5963,0.3806)","(0.3725,0.3165)","(0.5608,0.5320)","(0.4185,0.5273)","(0.6001,0.6818)","(0.3926,0.6720)","(0.6558,0.8392)","(0.4060,0.7978)"
3,"(0.4834,0.2655)","(0.5109,0.2531)","(0.4605,0.2513)","(0.5505,0.2578)","(0.4262,0.2541)","(0.5972,0.3339)","(0.3897,0.3239)","(0.6798,0.4391)","(0.3188,0.4017)","(0.6158,0.3805)","(0.3714,0.3148)","(0.5648,0.5287)","(0.4206,0.5239)","(0.6009,0.6814)","(0.3926,0.6683)","(0.6611,0.8388)","(0.4054,0.7941)"
4,"(0.4859,0.2606)","(0.5129,0.2484)","(0.4630,0.2459)","(0.5510,0.2504)","(0.4265,0.2456)","(0.5992,0.3156)","(0.3914,0.3079)","(0.6972,0.4202)","(0.3254,0.3990)","(0.6254,0.3609)","(0.3775,0.3136)","(0.5753,0.5221)","(0.4297,0.5173)","(0.6037,0.6816)","(0.3905,0.6653)","(0.6622,0.8414)","(0.4045,0.7935)"
5,"(0.4907,0.2588)","(0.5189,0.2468)","(0.4667,0.2449)","(0.5621,0.2508)","(0.4324,0.2478)","(0.6075,0.3114)","(0.4032,0.3107)","(0.6992,0.3944)","(0.3322,0.3983)","(0.6220,0.3268)","(0.3844,0.3105)","(0.5818,0.5240)","(0.4369,0.5205)","(0.6073,0.6822)","(0.3814,0.6654)","(0.6675,0.8431)","(0.4048,0.7926)"
6,"(0.4929,0.2602)","(0.5240,0.2486)","(0.4687,0.2455)","(0.5682,0.2545)","(0.4362,0.2497)","(0.5933,0.3189)","(0.4207,0.3209)","(0.5478,0.3753)","(0.3412,0.3959)","(0.5135,0.3042)","(0.3867,0.3102)","(0.5811,0.5284)","(0.4432,0.5252)","(0.6110,0.6854)","(0.3846,0.6614)","(0.6769,0.8466)","(0.3988,0.7851)"
7,"(0.4982,0.2598)","(0.5283,0.2477)","(0.4741,0.2449)","(0.5756,0.2503)","(0.4449,0.2467)","(0.6155,0.3069)","(0.4255,0.3172)","(0.6248,0.3478)","(0.3452,0.3967)","(0.5982,0.3014)","(0.3853,0.3133)","(0.5915,0.5275)","(0.4457,0.5256)","(0.6195,0.6893)","(0.3858,0.6606)","(0.6737,0.8474)","(0.3929,0.7847)"
8,"(0.4990,0.2591)","(0.5262,0.2473)","(0.4774,0.2456)","(0.5702,0.2528)","(0.4481,0.2508)","(0.6167,0.3145)","(0.4165,0.3192)","(0.6898,0.3754)","(0.3571,0.4024)","(0.6406,0.3025)","(0.3948,0.3259)","(0.5927,0.5289)","(0.4459,0.5242)","(0.6197,0.6861)","(0.3776,0.6591)","(0.6744,0.8538)","(0.4025,0.7748)"
9,"(0.4986,0.2589)","(0.5294,0.2481)","(0.4787,0.2439)","(0.5736,0.2526)","(0.4482,0.2447)","(0.6183,0.3088)","(0.4161,0.3055)","(0.7122,0.3991)","(0.3508,0.4062)","(0.6467,0.3263)","(0.3914,0.3192)","(0.5907,0.5237)","(0.4442,0.5186)","(0.6153,0.6825)","(0.3942,0.6625)","(0.6725,0.8457)","(0.4215,0.7828)"
