frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
0,"(0.5213,0.2818)","(0.5433,0.2740)","(0.5078,0.2647)","(0.0000,0.0000)","(0.4398,0.2617)","(0.4846,0.3554)","(0.3361,0.3199)","(0.5138,0.4509)","(0.4008,0.3942)","(0.5888,0.3880)","(0.5318,0.3342)","(0.4226,0.5370)","(0.2890,0.5267)","(0.4671,0.6732)","(0.2545,0.6760)","(0.4861,0.8199)","(0.0862,0.8319)"
1,"(0.5212,0.2818)","(0.5432,0.2740)","(0.5077,0.2647)","(0.0000,0.0000)","(0.4398,0.2617)","(0.4845,0.3554)","(0.3363,0.3200)","(0.5140,0.4508)","(0.4016,0.3942)","(0.5892,0.3881)","(0.5316,0.3346)","(0.4222,0.5369)","(0.2888,0.5266)","(0.4667,0.6734)","(0.2534,0.6762)","(0.4863,0.8198)","(0.0859,0.8322)"
2,"(0.5215,0.2822)","(0.5436,0.2745)","(0.5073,0.2650)","(0.0000,0.0000)","(0.4349,0.2613)","(0.4774,0.3554)","(0.3350,0.3186)","(0.5097,0.4497)","(0.4118,0.3887)","(0.5921,0.4005)","(0.5413,0.3358)","(0.4150,0.5355)","(0.2845,0.5255)","(0.4622,0.6724)","(0.2502,0.6777)","(0.4883,0.8198)","(0.0909,0.8378)"
3,"(0.5095,0.2847)","(0.5332,0.2770)","(0.4969,0.2670)","(0.0000,0.0000)","(0.4305,0.2621)","(0.4637,0.3570)","(0.3317,0.3194)","(0.5127,0.4495)","(0.4370,0.3835)","(0.6139,0.4052)","(0.5784,0.3229)","(0.4006,0.5384)","(0.2752,0.5296)","(0.4690,0.6696)","(0.2460,0.6815)","(0.4913,0.8193)","(0.0827,0.8461)"
4,"(0.4997,0.2876)","(0.5239,0.2795)","(0.4840,0.2704)","(0.0000,0.0000)","(0.4154,0.2676)","(0.4544,0.3617)","(0.3306,0.3235)","(0.4996,0.4550)","(0.4552,0.3796)","(0.6164,0.4110)","(0.5865,0.3208)","(0.3943,0.5431)","(0.2710,0.5359)","(0.4801,0.6625)","(0.2400,0.6864)","(0.4878,0.8157)","(0.0665,0.8528)"
5,"(0.4945,0.2888)","(0.5185,0.2805)","(0.4788,0.2716)","(0.0000,0.0000)","(0.4078,0.2688)","(0.4405,0.3649)","(0.3268,0.3252)","(0.4579,0.4631)","(0.4528,0.3830)","(0.5723,0.4198)","(0.5665,0.3279)","(0.3948,0.5488)","(0.2724,0.5424)","(0.4982,0.6654)","(0.2280,0.6933)","(0.4846,0.8146)","(0.0535,0.8598)"
6,"(0.4924,0.2856)","(0.5140,0.2787)","(0.4762,0.2697)","(0.0000,0.0000)","(0.4095,0.2685)","(0.4473,0.3591)","(0.3214,0.3251)","(0.4202,0.4592)","(0.4408,0.3844)","(0.5207,0.4242)","(0.5370,0.3287)","(0.4192,0.5457)","(0.2742,0.5437)","(0.5174,0.6710)","(0.2197,0.6971)","(0.4833,0.8181)","(0.0636,0.8601)"
7,"(0.4925,0.2789)","(0.5154,0.2721)","(0.4767,0.2630)","(0.0000,0.0000)","(0.4136,0.2626)","(0.4637,0.3527)","(0.3213,0.3204)","(0.4280,0.4526)","(0.3929,0.3886)","(0.5034,0.4155)","(0.5057,0.3329)","(0.4230,0.5400)","(0.2735,0.5373)","(0.5196,0.6688)","(0.2250,0.6910)","(0.4864,0.8160)","(0.0719,0.8566)"
8,"(0.4986,0.2734)","(0.5250,0.2663)","(0.4846,0.2561)","(0.0000,0.0000)","(0.4239,0.2567)","(0.4728,0.3504)","(0.3210,0.3145)","(0.4693,0.4502)","(0.3519,0.3996)","(0.5336,0.3969)","(0.4728,0.3343)","(0.4211,0.5351)","(0.2763,0.5293)","(0.5021,0.6657)","(0.2318,0.6825)","(0.4807,0.8098)","(0.0862,0.8552)"
9,"(0.5001,0.2698)","(0.5275,0.2627)","(0.4839,0.2532)","(0.0000,0.0000)","(0.4252,0.2556)","(0.5021,0.3517)","(0.3202,0.3175)","(0.5297,0.4415)","(0.3169,0.3923)","(0.5863,0.3955)","(0.4671,0.3327)","(0.4251,0.5326)","(0.2715,0.5255)","(0.4988,0.6647)","(0.2443,0.6754)","(0.4908,0.8083)","(0.0953,0.8485)"
